Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,46.28,46.64,46.17,46.46,2830700,46.46
2015-03-26,46.57,47.05,46.28,46.30,3803200,46.30
2015-03-25,47.16,47.59,46.68,46.71,3232700,46.71
2015-03-24,47.20,47.62,46.96,46.96,3162300,46.96
2015-03-23,47.07,47.72,47.07,47.13,3639800,47.13
2015-03-20,46.69,47.51,46.53,46.95,6701100,46.95
2015-03-19,47.05,47.11,46.06,46.49,2918400,46.49
2015-03-18,46.22,47.40,45.74,47.17,4289600,47.17
2015-03-17,46.30,46.45,45.84,46.25,2942400,46.25
2015-03-16,46.36,46.56,45.91,46.49,2911800,46.49
2015-03-13,46.42,46.51,45.64,46.30,2831700,46.30
2015-03-12,45.80,46.71,45.80,46.64,3547400,46.64
2015-03-11,45.68,45.78,45.15,45.50,3322000,45.50
2015-03-10,45.92,46.21,45.45,45.52,3299300,45.52
2015-03-09,46.21,46.60,45.76,46.39,2408900,46.39
2015-03-06,47.00,47.23,46.09,46.25,3878000,46.25
2015-03-05,47.30,47.54,46.63,47.48,4734800,47.48
2015-03-04,47.37,47.43,46.73,47.08,3419000,47.08
2015-03-03,47.52,47.70,47.02,47.52,3369300,47.52
2015-03-02,47.88,47.89,47.02,47.85,3705000,47.85
2015-02-27,47.49,48.13,47.49,47.88,2863400,47.88
2015-02-26,48.28,48.29,47.40,47.55,2940900,47.55
2015-02-25,48.59,48.79,47.92,48.10,2965500,48.10
2015-02-24,48.21,48.80,48.00,48.65,2418800,48.65
2015-02-23,48.25,48.35,47.95,48.26,1974000,48.26
2015-02-20,47.72,48.20,47.02,48.15,2704200,48.15
2015-02-19,47.50,48.10,47.41,47.78,2351100,47.78
2015-02-18,47.67,48.10,47.54,47.71,2713600,47.71
2015-02-17,48.14,48.17,47.42,47.77,3611700,47.77
2015-02-13,47.34,48.24,47.34,48.10,4074700,48.10
2015-02-12,46.80,47.62,46.75,47.44,4750100,47.44
2015-02-11,47.23,47.46,46.37,46.92,3692100,46.64
2015-02-10,47.91,47.91,47.21,47.58,3481400,47.30
2015-02-09,47.42,47.76,47.23,47.38,4626100,47.10
2015-02-06,48.70,48.81,47.46,47.56,3605300,47.28
2015-02-05,46.55,48.72,46.55,48.68,7981700,48.39
2015-02-04,48.40,48.40,45.87,46.15,9231200,45.87
2015-02-03,47.36,48.90,46.21,48.76,7107600,48.47
2015-02-02,46.79,48.20,46.72,48.17,6479500,47.88
2015-01-30,47.63,47.86,46.56,46.63,5406700,46.35
2015-01-29,47.57,48.04,46.89,47.92,3678900,47.63
2015-01-28,48.30,48.60,47.42,47.49,3277900,47.21
2015-01-27,47.96,48.65,47.75,48.28,3217400,47.99
2015-01-26,47.68,48.52,47.50,48.29,3147300,48.00
2015-01-23,47.91,48.30,47.56,47.87,2979100,47.58
2015-01-22,47.99,48.47,47.53,48.08,4548000,47.79
2015-01-21,47.10,48.04,46.91,47.70,3987500,47.42
2015-01-20,47.19,47.47,46.57,47.20,5359900,46.92
2015-01-16,47.10,47.76,46.90,47.68,3151300,47.40
2015-01-15,47.45,47.77,46.85,47.21,4258600,46.93
2015-01-14,47.67,48.09,46.85,47.45,4244700,47.17
2015-01-13,48.33,49.08,47.87,48.28,4433200,47.99
2015-01-12,49.00,49.00,47.98,48.21,3871600,47.92
2015-01-09,49.47,49.69,48.80,48.82,3692900,48.53
2015-01-08,49.29,49.60,48.54,49.24,7469600,48.95
2015-01-07,49.70,50.26,49.62,49.97,2849500,49.67
2015-01-06,50.46,50.49,48.94,49.23,4855700,48.94
2015-01-05,51.45,51.68,49.98,50.22,3828000,49.92
2015-01-02,52.20,52.60,51.59,52.02,2039800,51.71
2014-12-31,52.90,52.95,51.87,52.00,2595200,51.69
2014-12-30,53.15,53.39,52.68,52.89,2227500,52.57
2014-12-29,53.25,53.50,52.85,53.13,1749700,52.81
2014-12-26,53.09,53.64,53.03,53.42,1322400,53.10
2014-12-24,53.16,53.55,53.09,53.11,1724600,52.79
2014-12-23,52.89,53.69,52.53,53.17,4082700,52.85
2014-12-22,52.40,52.90,52.13,52.72,3237000,52.41
2014-12-19,51.41,52.78,51.30,52.24,7178700,51.93
