Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,167.30,168.46,166.25,167.71,466300,167.71
2015-03-26,166.62,168.28,165.20,166.66,576600,166.66
2015-03-25,169.05,170.56,166.57,166.65,578200,166.65
2015-03-24,168.89,170.81,168.45,168.47,516200,168.47
2015-03-23,171.48,173.04,169.45,169.46,794600,169.46
2015-03-20,172.00,172.87,171.34,171.48,787200,171.48
2015-03-19,168.01,170.98,167.42,170.69,562200,170.69
2015-03-18,166.81,169.32,164.89,168.28,690600,168.28
2015-03-17,167.54,168.42,166.32,166.90,444300,166.90
2015-03-16,166.71,169.66,166.71,168.70,460000,168.70
2015-03-13,166.79,167.79,164.60,165.70,325000,165.70
2015-03-12,164.73,167.02,164.52,166.76,468500,166.76
2015-03-11,165.52,167.28,164.04,164.52,690400,164.52
2015-03-10,166.17,166.72,165.19,165.43,546500,165.43
2015-03-09,166.53,167.84,165.96,167.44,508500,167.44
2015-03-06,169.47,169.68,166.34,166.67,643200,166.67
2015-03-05,167.57,170.81,167.50,170.28,552100,170.28
2015-03-04,167.09,168.61,165.66,167.66,597000,167.66
2015-03-03,167.32,168.03,165.79,167.18,547400,167.18
2015-03-02,169.14,170.64,167.29,168.30,891000,168.30
2015-02-27,170.89,171.58,169.02,169.14,682100,169.14
2015-02-26,171.95,172.91,170.66,170.94,701400,170.94
2015-02-25,174.09,174.60,170.67,171.62,657000,171.62
2015-02-24,174.85,176.09,173.60,174.48,570600,174.48
2015-02-23,176.46,177.57,175.60,176.05,718000,176.05
2015-02-20,175.06,177.15,173.97,177.02,502600,177.02
2015-02-19,175.25,175.73,174.15,175.55,524700,175.55
2015-02-18,174.73,176.19,174.38,176.02,379400,176.02
2015-02-17,175.39,175.85,173.99,174.69,735300,174.69
2015-02-13,174.38,175.90,173.27,175.38,420300,175.38
2015-02-12,173.60,175.10,172.13,174.88,575500,174.88
2015-02-11,173.30,174.72,172.89,173.67,381500,173.67
2015-02-10,170.20,173.39,169.83,173.17,440500,173.17
2015-02-09,171.81,171.85,168.62,168.91,928600,168.91
2015-02-06,174.30,175.96,171.46,172.00,615300,172.00
2015-02-05,173.39,175.32,172.99,173.81,513100,173.81
2015-02-04,172.16,174.14,171.73,172.58,775400,172.58
2015-02-03,170.74,172.74,169.44,172.56,587500,172.56
2015-02-02,170.76,170.76,166.56,170.07,856600,170.07
2015-01-30,173.65,176.49,168.83,171.03,1933100,171.03
2015-01-29,175.31,176.97,173.53,176.94,736600,176.94
2015-01-28,177.42,178.89,174.79,175.15,543400,175.15
2015-01-27,177.42,178.15,175.50,177.27,285400,177.27
2015-01-26,177.27,178.65,175.95,178.45,323400,178.45
2015-01-23,178.55,180.35,177.75,178.20,490500,178.20
2015-01-22,176.99,178.99,175.66,178.59,607600,178.59
2015-01-21,175.78,177.24,175.12,176.33,293100,176.11
2015-01-20,175.97,177.04,174.74,175.77,591900,175.55
2015-01-16,172.15,174.23,171.28,174.06,593200,173.84
2015-01-15,174.00,174.54,172.74,172.84,366400,172.62
2015-01-14,171.53,174.25,171.30,174.00,713800,173.78
2015-01-13,175.17,177.20,171.93,173.50,521600,173.28
2015-01-12,174.88,175.04,173.26,174.07,414800,173.85
2015-01-09,175.04,175.85,173.35,173.71,654700,173.49
2015-01-08,171.95,175.00,171.38,174.87,667700,174.65
2015-01-07,166.66,170.46,166.01,170.44,595000,170.23
2015-01-06,165.48,166.54,163.61,165.56,853600,165.35
2015-01-05,163.96,166.72,163.08,164.99,840700,164.78
2015-01-02,167.00,168.52,166.27,167.48,504100,167.27
2014-12-31,169.15,170.23,166.52,166.62,378700,166.41
2014-12-30,168.83,169.74,168.32,168.66,233000,168.45
2014-12-29,168.13,169.15,167.44,168.71,223900,168.50
2014-12-26,169.30,169.89,168.10,168.40,151300,168.19
2014-12-24,169.46,169.95,168.71,169.10,265100,168.89
2014-12-23,170.25,170.30,168.23,169.54,316000,169.33
2014-12-22,169.61,171.00,168.90,169.51,465500,169.30
2014-12-19,171.50,172.76,169.44,169.50,981100,169.29
2014-12-18,170.62,171.75,169.97,171.58,783000,171.37
2014-12-17,166.29,169.73,166.10,168.87,463300,168.66
2014-12-16,166.02,169.05,165.37,165.84,665800,165.63
2014-12-15,167.98,168.83,164.43,166.21,688600,166.00
2014-12-12,167.82,169.47,167.43,167.49,380000,167.28
2014-12-11,167.98,170.21,167.41,169.15,577400,168.94
2014-12-10,169.82,170.39,167.34,167.47,624800,167.26
2014-12-09,171.30,171.53,169.82,170.10,719200,169.89
2014-12-08,172.44,174.38,172.01,172.68,562800,172.46
2014-12-05,172.15,174.46,172.02,172.37,650500,172.15
2014-12-04,171.90,173.84,171.44,172.47,516300,172.25
2014-12-03,171.33,174.13,170.52,172.40,954900,172.18
2014-12-02,170.25,171.65,170.25,170.99,527800,170.78
2014-12-01,167.24,170.58,166.54,170.04,788000,169.83
