Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,88.62,89.12,88.00,88.91,456400,88.91
2015-03-16,89.07,89.48,88.63,89.44,438000,89.44
2015-03-13,90.00,90.15,88.29,88.63,390100,88.63
2015-03-12,87.90,90.03,87.60,89.95,372000,89.95
2015-03-11,88.11,88.40,87.16,87.45,459600,87.45
2015-03-10,88.20,88.97,88.03,88.19,518800,88.19
2015-03-09,88.80,89.44,88.56,88.87,429600,88.87
2015-03-06,89.11,89.64,88.47,88.76,606200,88.76
2015-03-05,90.81,91.31,90.22,90.79,437500,90.79
2015-03-04,91.90,91.99,90.14,90.40,644000,90.40
2015-03-03,91.92,92.40,90.87,91.21,479200,91.21
2015-03-02,91.69,92.28,91.14,91.88,428700,91.88
2015-02-27,92.68,92.70,91.39,91.69,345500,91.69
2015-02-26,92.25,92.82,91.97,92.42,357800,92.42
2015-02-25,92.53,92.53,91.56,91.96,298300,91.96
2015-02-24,92.28,92.55,91.96,92.22,351800,92.22
2015-02-23,92.34,92.55,92.00,92.27,207300,92.27
2015-02-20,91.13,92.34,90.30,92.21,514000,92.21
2015-02-19,91.91,92.30,90.89,91.53,229600,91.53
2015-02-18,90.76,92.06,90.53,91.97,224400,91.97
2015-02-17,90.78,91.47,90.24,91.24,249100,91.24
2015-02-13,90.55,91.08,90.22,90.72,257400,90.72
2015-02-12,90.43,91.40,90.31,91.00,328800,91.00
2015-02-11,89.71,90.74,89.68,90.60,448800,90.60
2015-02-10,90.22,90.29,88.92,89.64,469300,89.64
2015-02-09,89.90,89.90,88.76,89.22,510100,89.22
2015-02-06,90.74,90.81,89.84,90.19,459900,90.19
2015-02-05,89.50,90.40,89.37,90.31,279400,90.31
2015-02-04,89.46,90.60,89.04,89.51,407200,89.51
2015-02-03,90.25,91.09,88.91,89.72,527800,89.72
2015-02-02,88.99,90.02,88.27,90.00,463100,90.00
2015-01-30,89.67,89.96,88.70,88.87,751700,88.87
2015-01-29,90.34,90.69,89.00,90.44,398000,90.44
2015-01-28,91.80,91.99,90.09,90.18,368200,90.18
2015-01-27,91.69,91.94,90.65,91.01,433400,91.01
2015-01-26,92.92,92.99,91.92,92.49,386900,92.49
2015-01-23,93.83,93.83,92.12,92.92,494200,92.92
2015-01-22,92.30,93.47,91.02,93.38,670600,93.38
2015-01-21,90.56,92.18,90.39,91.76,544100,91.76
2015-01-20,90.50,91.29,89.16,91.05,505600,91.05
2015-01-16,88.53,89.49,88.28,89.44,682800,89.44
2015-01-15,89.17,89.92,88.38,88.75,494300,88.75
2015-01-14,88.50,89.30,88.16,89.14,388900,89.14
2015-01-13,90.13,90.98,88.68,89.33,313500,89.33
2015-01-12,89.62,89.88,88.83,89.56,482400,89.56
2015-01-09,90.78,90.90,89.04,89.09,405300,89.09
2015-01-08,89.72,90.35,89.14,90.14,714400,90.14
2015-01-07,87.78,89.16,87.06,88.78,501500,88.78
2015-01-06,88.02,88.69,86.95,87.29,905000,87.29
2015-01-05,87.61,88.42,87.61,87.77,552400,87.77
2015-01-02,87.96,88.53,87.49,88.25,602000,88.25
2014-12-31,88.80,89.30,87.77,87.84,475100,87.84
2014-12-30,89.76,89.76,88.67,88.75,404000,88.75
2014-12-29,90.00,90.19,89.46,89.76,242100,89.76
2014-12-26,90.51,91.00,90.09,90.27,268600,90.27
2014-12-24,90.23,90.68,89.85,90.41,248900,90.41
2014-12-23,89.50,90.21,88.84,90.01,412200,90.01
2014-12-22,88.34,89.18,88.34,89.12,585200,89.12
2014-12-19,88.94,89.31,87.80,88.12,1104700,88.12
2014-12-18,87.95,88.78,87.89,88.78,755700,88.78
2014-12-17,86.05,87.68,85.43,87.19,487600,87.19
2014-12-16,85.84,87.67,85.55,85.67,673500,85.67
2014-12-15,86.65,87.54,86.18,86.62,783600,86.62
2014-12-12,88.47,89.47,86.55,86.56,723400,86.56
2014-12-11,87.82,90.04,87.80,89.28,819700,89.28
2014-12-10,89.94,90.55,87.73,87.88,846000,87.88
2014-12-09,89.65,90.41,88.93,90.36,661300,90.36
2014-12-08,90.79,91.51,90.15,91.00,561800,91.00
2014-12-05,91.05,91.58,90.37,91.27,716400,91.27
2014-12-04,91.86,92.71,90.43,90.93,948600,90.93
2014-12-03,93.50,93.60,91.16,92.25,1240400,92.25
2014-12-02,95.85,96.22,95.14,96.00,611700,96.00
2014-12-01,97.96,97.97,95.33,95.58,496500,95.27
2014-11-28,95.84,97.31,95.49,97.05,235800,96.74
2014-11-26,95.51,95.58,94.85,95.11,351600,94.80
2014-11-25,95.00,95.75,94.44,95.33,475400,95.02
2014-11-24,94.79,95.32,94.01,94.81,296700,94.50
2014-11-21,95.18,95.29,93.81,94.14,1509900,93.83
2014-11-20,93.59,94.29,93.43,93.87,286900,93.57
2014-11-19,93.91,94.26,93.31,94.09,328100,93.78
2014-11-18,94.04,94.42,93.45,94.08,293700,93.77
2014-11-17,93.33,94.09,92.98,94.04,234900,93.73
2014-11-14,94.12,94.24,92.84,93.34,201200,93.04
2014-11-13,94.49,94.75,93.66,94.24,278500,93.93
2014-11-12,93.54,94.27,93.33,93.94,218200,93.64
2014-11-11,93.99,94.63,93.56,94.15,246200,93.84
2014-11-10,93.33,94.17,93.13,94.09,237600,93.78
2014-11-07,92.88,93.59,92.48,93.59,240300,93.29
2014-11-06,93.23,93.43,92.42,93.31,333900,93.01
2014-11-05,93.12,93.48,92.50,92.94,322400,92.64
2014-11-04,92.73,93.37,92.34,92.62,293900,92.32
