Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,90.62,91.12,90.14,90.56,2530900,90.56
2015-03-26,91.49,91.93,90.25,91.36,4855100,91.36
2015-03-25,89.68,90.65,88.79,89.96,3488300,89.96
2015-03-24,89.20,89.94,88.64,88.84,2673100,88.84
2015-03-23,91.25,91.41,89.00,89.00,3181200,89.00
2015-03-20,89.75,91.94,89.43,90.68,5820500,90.68
2015-03-19,89.40,89.90,88.36,89.53,3552300,89.53
2015-03-18,86.08,91.37,86.00,90.66,5386800,90.66
2015-03-17,86.86,87.97,86.40,86.80,3798600,86.80
2015-03-16,85.11,88.03,85.06,87.90,4953800,87.90
2015-03-13,85.20,85.66,84.10,85.39,4415600,85.39
2015-03-12,87.05,87.19,85.62,85.71,3051700,85.71
2015-03-11,86.42,87.37,85.88,86.55,3973700,86.55
2015-03-10,86.88,88.57,86.15,86.19,4862400,86.19
2015-03-09,88.08,89.25,87.64,87.72,3443600,87.72
2015-03-06,88.92,90.00,88.23,88.57,4063600,88.57
2015-03-05,89.85,90.52,89.37,89.59,2688100,89.59
2015-03-04,90.20,90.95,88.55,90.49,3924800,90.49
2015-03-03,88.98,91.11,88.60,90.37,4381400,90.37
2015-03-02,89.72,89.72,87.08,89.06,5347800,89.06
2015-02-27,90.63,90.71,89.29,89.72,3837600,89.72
2015-02-26,91.81,92.25,89.61,90.13,5427100,90.13
2015-02-25,91.54,93.25,91.29,93.03,5787800,93.03
2015-02-24,92.85,93.00,91.26,91.61,4215000,91.61
2015-02-23,90.06,92.10,89.25,91.93,5501300,91.93
2015-02-20,93.09,93.46,90.07,91.08,7937800,91.08
2015-02-19,86.68,94.74,86.58,93.80,18682400,93.80
2015-02-18,96.49,96.49,94.50,95.31,4534000,95.31
2015-02-17,96.08,96.67,95.65,96.49,4234300,96.49
2015-02-13,95.94,96.97,95.25,96.92,4158500,96.92
2015-02-12,94.96,95.24,93.47,94.80,3944500,94.80
2015-02-11,93.84,94.09,92.15,93.20,6332300,93.20
2015-02-10,96.65,96.69,93.84,95.26,4308300,95.26
2015-02-09,96.60,97.23,95.78,95.95,4249100,95.95
2015-02-06,96.99,97.21,95.57,95.79,5177000,95.79
2015-02-05,95.71,97.29,95.16,96.19,5596600,96.19
2015-02-04,94.40,97.53,93.54,95.19,9869100,95.19
2015-02-03,94.72,97.88,94.65,96.31,8906600,96.31
2015-02-02,90.99,92.57,89.53,92.52,5615500,92.52
2015-01-30,88.16,90.07,87.40,89.03,7469900,89.03
2015-01-29,89.12,89.41,86.76,88.91,5188700,88.91
2015-01-28,92.33,92.69,87.76,88.10,5772900,88.10
2015-01-27,91.94,94.41,91.12,93.00,5283000,93.00
