Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,232.80,236.28,231.81,232.37,375200,232.37
2015-03-26,232.20,234.18,228.29,233.33,388900,231.89
2015-03-25,237.86,239.03,232.81,233.13,284300,231.69
2015-03-24,239.09,240.87,237.68,237.76,273200,236.29
2015-03-23,240.88,243.17,239.81,239.85,355300,238.37
2015-03-20,234.90,241.48,234.90,240.55,818700,239.07
2015-03-19,236.23,238.85,234.77,234.84,548100,233.39
2015-03-18,233.01,237.40,230.19,236.72,458000,235.26
2015-03-17,234.54,234.54,232.03,232.65,355800,231.21
2015-03-16,230.18,234.61,229.58,234.61,335000,233.16
2015-03-13,228.98,229.79,226.98,228.51,299000,227.10
2015-03-12,225.48,229.40,225.40,228.77,361700,227.36
2015-03-11,223.40,224.99,223.01,223.58,291700,222.20
2015-03-10,221.93,224.74,220.16,223.50,371700,222.12
2015-03-09,220.34,222.45,220.08,222.17,285500,220.80
2015-03-06,223.81,223.81,218.80,219.36,407300,218.01
2015-03-05,223.16,227.77,223.07,226.19,463800,224.79
2015-03-04,223.08,224.44,221.01,221.24,397000,219.87
2015-03-03,224.10,224.65,221.72,223.50,232800,222.12
2015-03-02,223.25,227.42,223.25,225.16,344500,223.77
2015-02-27,220.72,222.66,218.35,222.43,295500,221.06
2015-02-26,221.95,223.14,220.03,220.34,257800,218.98
2015-02-25,223.17,225.55,222.22,222.38,258800,221.01
2015-02-24,227.04,227.42,222.07,223.17,224800,221.79
2015-02-23,227.03,228.90,225.87,228.48,276000,227.07
2015-02-20,223.24,226.77,222.00,226.56,268000,225.16
2015-02-19,227.96,227.96,223.00,223.55,235600,222.17
2015-02-18,225.16,228.19,224.16,227.96,303400,226.55
2015-02-17,226.24,228.47,225.27,226.21,233400,224.81
2015-02-13,227.67,227.95,224.67,226.69,276900,225.29
2015-02-12,224.20,228.02,223.38,227.99,295800,226.58
2015-02-11,223.37,225.92,222.13,223.80,257500,222.42
2015-02-10,222.50,224.41,220.97,224.30,360300,222.92
2015-02-09,223.74,224.23,221.56,222.13,379600,220.76
2015-02-06,230.48,230.48,222.08,223.70,355900,222.32
2015-02-05,228.62,230.76,224.49,230.48,434300,229.06
2015-02-04,228.01,228.56,225.44,228.16,350500,226.75
2015-02-03,225.08,228.55,223.06,228.39,551400,226.98
2015-02-02,225.95,226.76,220.59,226.38,541300,224.98
2015-01-30,228.98,229.62,225.22,226.05,1474800,224.65
2015-01-29,226.92,229.74,225.93,229.52,393100,228.10
2015-01-28,229.79,231.69,227.25,227.31,489500,225.91
2015-01-27,228.97,231.99,228.50,229.29,408700,227.87
2015-01-26,228.24,230.49,227.72,230.11,436200,228.69
2015-01-23,229.30,229.68,226.83,227.86,427900,226.45
2015-01-22,225.92,229.18,225.27,228.82,486000,227.41
2015-01-21,226.13,226.27,224.40,225.83,381900,224.44
2015-01-20,230.16,230.42,225.20,226.11,330400,224.71
2015-01-16,226.79,228.34,225.79,228.17,536500,226.76
2015-01-15,225.92,227.61,225.49,227.27,401200,225.87
2015-01-14,221.64,225.94,220.62,225.44,312000,224.05
2015-01-13,222.19,223.66,220.40,222.44,388900,221.07
2015-01-12,221.50,223.66,220.89,222.04,280200,220.67
2015-01-09,219.40,221.56,218.28,220.62,335900,219.26
2015-01-08,218.21,219.12,216.25,218.86,379800,217.51
2015-01-07,214.22,217.69,213.53,217.46,620500,216.12
2015-01-06,210.59,214.57,210.59,214.23,470400,212.91
2015-01-05,209.66,212.22,209.29,211.19,350700,209.89
2015-01-02,207.82,210.69,207.26,210.35,258700,209.05
2014-12-31,211.16,211.91,206.35,206.60,251600,205.32
2014-12-30,209.85,211.59,208.99,209.97,212500,208.67
2014-12-29,211.39,213.19,209.83,211.50,368400,208.90
2014-12-26,210.57,212.29,210.57,211.53,136200,208.93
2014-12-24,212.65,213.57,210.56,210.72,122300,208.13
2014-12-23,213.61,214.43,212.31,212.58,356700,209.97
2014-12-22,208.89,213.21,207.94,212.86,448600,210.25
2014-12-19,208.25,209.51,207.74,208.16,635900,205.60
2014-12-18,204.86,208.25,204.80,208.25,454200,205.69
2014-12-17,201.84,205.08,201.43,204.97,474200,202.45
2014-12-16,201.58,203.67,199.83,201.68,315600,199.20
2014-12-15,203.92,204.65,200.68,201.44,481400,198.97
2014-12-12,205.51,206.88,203.81,203.82,383500,201.32
2014-12-11,206.55,207.04,204.78,205.93,307300,203.40
2014-12-10,205.30,206.36,203.95,205.63,290700,203.10
2014-12-09,202.66,205.82,202.16,205.28,303500,202.76
2014-12-08,202.64,205.40,201.59,203.75,198500,201.25
2014-12-05,200.50,202.67,199.82,202.03,321200,199.55
2014-12-04,202.26,203.41,201.13,203.22,288200,200.72
2014-12-03,202.85,203.35,201.33,202.29,205600,199.81
2014-12-02,201.31,203.58,199.30,203.24,246900,200.74
2014-12-01,202.03,203.72,201.27,201.53,298400,199.06
2014-11-28,203.27,205.14,201.90,202.41,193800,199.92
2014-11-26,200.87,202.46,200.63,202.21,265700,199.73
2014-11-25,200.30,200.84,199.93,200.13,417100,197.67
2014-11-24,200.80,202.47,200.21,200.60,351000,198.14
2014-11-21,199.52,200.60,199.19,200.37,911200,197.91
2014-11-20,198.50,198.95,196.84,197.85,372000,195.42
2014-11-19,201.69,201.69,197.76,197.86,308600,195.43
2014-11-18,200.49,202.04,200.29,201.21,221100,198.74
2014-11-17,199.56,201.20,198.80,200.52,261600,198.06
2014-11-14,200.89,201.96,198.49,199.07,256600,196.63
2014-11-13,201.25,202.59,200.02,200.52,467700,198.06
2014-11-12,201.91,203.53,199.87,200.44,254000,197.98
2014-11-11,202.70,203.02,200.79,202.33,226200,199.85
2014-11-10,200.51,203.21,200.10,202.88,423100,200.39
2014-11-07,201.35,201.77,199.93,200.54,481100,198.08
2014-11-06,202.92,204.13,201.06,201.36,276200,198.89
2014-11-05,204.88,205.21,201.42,202.68,412700,200.19
2014-11-04,203.66,204.79,202.00,204.56,300100,202.05
2014-11-03,201.38,203.74,200.62,203.58,511500,201.08
2014-10-31,199.10,201.76,196.76,201.76,557900,199.28
2014-10-30,194.76,196.76,194.01,196.76,261200,194.34
2014-10-29,195.42,196.83,194.39,195.80,332000,193.40
2014-10-28,195.14,195.84,194.30,195.84,221100,193.44
2014-10-27,194.35,195.20,193.81,195.12,259500,192.72
2014-10-24,194.06,194.68,192.37,194.11,251200,191.73
2014-10-23,193.20,194.47,192.28,194.29,357300,191.90
2014-10-22,192.00,193.52,191.44,192.96,275800,190.59
2014-10-21,190.14,192.03,189.52,191.88,254800,189.52
2014-10-20,186.74,189.84,186.28,189.65,289900,187.32
2014-10-17,187.87,188.60,185.21,186.71,322400,184.42
2014-10-16,185.70,187.87,183.84,187.53,393900,185.23
2014-10-15,186.01,188.76,184.66,187.45,479600,185.15
2014-10-14,183.99,188.04,183.04,186.97,508800,184.67
2014-10-13,181.96,184.77,181.96,183.75,311800,181.49
2014-10-10,182.07,183.82,182.03,182.13,367400,179.89
2014-10-09,181.46,183.82,181.23,181.55,420500,179.32
2014-10-08,177.22,181.36,176.87,181.25,435800,179.02
2014-10-07,179.80,180.30,176.70,176.74,495400,174.57
2014-10-06,180.67,181.88,179.94,180.28,231000,178.07
