Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,57.62,58.07,56.90,57.02,1336700,57.02
2015-03-26,57.90,58.34,57.60,58.16,1188900,57.99
2015-03-25,59.05,59.16,57.96,57.96,834700,57.80
2015-03-24,59.69,59.69,58.90,59.03,856200,58.86
2015-03-23,59.70,60.36,59.43,59.81,912000,59.64
2015-03-20,59.26,59.74,58.70,59.63,1185800,59.46
2015-03-19,58.94,59.28,58.64,58.95,913700,58.78
2015-03-18,59.03,59.64,58.12,59.20,1324700,59.03
2015-03-17,59.68,60.24,59.15,59.35,1025700,59.18
2015-03-16,60.20,60.44,59.64,60.09,950000,59.92
2015-03-13,60.30,60.60,59.88,60.25,887800,60.08
2015-03-12,60.46,60.65,60.03,60.62,650000,60.45
2015-03-11,59.94,60.44,59.77,60.22,569200,60.05
2015-03-10,60.70,61.02,59.83,59.94,1255700,59.77
2015-03-09,61.26,61.81,60.98,61.31,1048300,61.14
2015-03-06,61.84,61.99,60.95,61.21,1128200,61.04
2015-03-05,63.28,63.29,62.05,62.33,546900,62.15
2015-03-04,63.54,63.71,63.04,63.26,637200,63.08
2015-03-03,64.26,64.72,63.77,64.00,464800,63.82
2015-03-02,63.41,64.60,62.94,64.59,581100,64.41
2015-02-27,63.62,63.72,63.24,63.41,674500,63.23
2015-02-26,64.08,64.28,63.38,63.62,734400,63.44
2015-02-25,63.98,64.44,63.60,64.26,701800,64.08
2015-02-24,63.81,64.27,63.57,63.84,817400,63.66
2015-02-23,63.82,63.95,63.55,63.74,577500,63.56
2015-02-20,63.67,64.02,63.22,64.01,638000,63.83
2015-02-19,63.52,63.98,63.31,63.73,956600,63.55
2015-02-18,64.30,64.62,63.88,64.03,1286900,63.85
2015-02-17,63.31,64.56,63.10,64.43,1405700,64.25
2015-02-13,63.24,63.80,63.17,63.68,1096500,63.50
2015-02-12,62.07,63.45,62.07,63.24,1215000,63.06
2015-02-11,61.37,62.11,61.20,61.90,888500,61.72
2015-02-10,61.59,61.81,61.08,61.56,696700,61.39
2015-02-09,61.39,62.23,61.39,61.66,1171800,61.49
2015-02-06,61.85,62.44,60.73,61.72,1699500,61.54
2015-02-05,57.10,62.95,55.75,62.06,3838200,61.88
2015-02-04,59.30,59.74,58.47,58.88,1292100,58.71
2015-02-03,57.99,59.64,57.96,59.46,1602400,59.29
2015-02-02,57.92,58.04,56.94,57.83,771500,57.67
2015-01-30,56.57,58.12,56.41,57.50,1054200,57.34
2015-01-29,57.31,57.70,56.56,57.10,832400,56.94
2015-01-28,58.83,58.83,57.04,57.15,573400,56.99
2015-01-27,57.39,58.77,57.30,58.39,706700,58.22
2015-01-26,57.82,58.51,57.49,58.23,640300,58.06
2015-01-23,59.44,59.44,57.85,57.92,606800,57.76
2015-01-22,58.40,59.53,58.31,59.39,693300,59.22
2015-01-21,57.70,58.53,57.54,58.38,670900,58.21
2015-01-20,58.21,58.59,57.41,57.90,605000,57.74
2015-01-16,58.12,58.39,57.52,58.29,1175900,58.12
2015-01-15,59.13,59.41,58.13,58.13,1340300,57.97
2015-01-14,58.56,58.97,57.81,58.92,1143600,58.75
2015-01-13,59.47,60.09,58.42,59.43,1760700,59.26
2015-01-12,58.49,59.44,57.25,59.20,1965400,59.03
2015-01-09,58.18,58.31,57.34,57.54,975200,57.38
2015-01-08,56.89,57.93,56.80,57.90,1152300,57.74
2015-01-07,56.45,56.73,55.98,56.50,739700,56.34
2015-01-06,55.84,56.95,55.57,56.08,1440900,55.92
2015-01-05,56.54,56.63,55.41,55.72,1054800,55.56
2015-01-02,57.08,57.08,55.95,56.97,1001000,56.81
2014-12-31,57.61,57.94,56.93,57.03,941900,56.87
2014-12-30,57.48,57.90,57.35,57.55,602900,57.39
2014-12-29,57.32,57.89,57.31,57.63,669400,57.47
2014-12-26,57.96,58.00,57.52,57.56,518300,57.25
2014-12-24,57.83,57.99,57.48,57.74,356400,57.43
2014-12-23,56.60,57.95,56.55,57.92,1245400,57.61
2014-12-22,56.78,57.12,55.83,56.51,1399400,56.20
2014-12-19,56.84,57.17,56.47,56.96,2470900,56.65
2014-12-18,57.71,57.72,55.39,56.50,1805700,56.19
2014-12-17,54.55,56.01,54.35,56.00,1054300,55.70
2014-12-16,54.81,55.67,54.24,54.30,1292400,54.00
2014-12-15,55.66,56.01,54.88,54.99,1637700,54.69
2014-12-12,55.44,55.51,54.98,55.00,1887100,54.70
2014-12-11,55.01,56.23,55.01,55.82,1934500,55.52
2014-12-10,56.06,56.37,54.98,55.16,1256900,54.86
2014-12-09,55.91,56.39,55.64,56.34,910900,56.03
2014-12-08,56.89,56.93,56.06,56.21,1197800,55.90
2014-12-05,55.41,57.42,55.27,56.96,2186800,56.65
2014-12-04,54.88,55.53,54.87,55.25,970900,54.95
2014-12-03,53.99,55.11,53.70,55.04,1884000,54.74
2014-12-02,53.60,54.25,53.52,54.07,1158200,53.78
2014-12-01,54.29,54.72,53.70,53.75,1517900,53.46
2014-11-28,55.44,55.73,54.29,54.40,546000,54.10
2014-11-26,55.99,56.21,55.51,55.69,849400,55.39
2014-11-25,56.80,56.83,56.18,56.21,918100,55.90
2014-11-24,56.50,56.82,56.12,56.73,1567200,56.42
2014-11-21,56.89,57.17,56.33,56.50,1191100,56.19
2014-11-20,56.05,56.40,55.81,55.97,1488700,55.67
2014-11-19,56.80,56.80,56.14,56.37,751900,56.06
2014-11-18,56.43,56.96,56.29,56.79,1461300,56.48
2014-11-17,56.61,57.05,56.27,56.32,1064600,56.01
2014-11-14,56.39,56.84,56.33,56.62,768600,56.31
2014-11-13,56.90,57.06,56.07,56.39,728400,56.08
2014-11-12,56.68,56.82,56.34,56.76,660300,56.45
2014-11-11,56.80,57.23,56.67,56.82,1374100,56.51
2014-11-10,56.93,57.33,56.68,56.79,1018800,56.48
2014-11-07,57.24,57.46,56.81,57.00,1380900,56.69
2014-11-06,56.74,57.26,56.43,57.24,1225300,56.93
2014-11-05,56.05,56.67,55.78,56.62,1038500,56.31
2014-11-04,56.40,56.48,55.70,55.78,1317400,55.48
2014-11-03,57.48,57.71,56.09,56.26,1355600,55.95
2014-10-31,58.56,58.73,57.09,57.35,2731700,57.04
2014-10-30,55.49,58.47,55.15,58.12,2971100,57.80
2014-10-29,57.70,58.00,56.55,57.47,2195900,57.16
2014-10-28,57.11,57.79,56.87,57.78,1398000,57.47
2014-10-27,57.57,57.58,56.39,56.79,1051400,56.48
2014-10-24,58.13,58.38,57.28,58.12,1036100,57.80
2014-10-23,59.15,59.28,58.01,58.18,1650800,57.86
2014-10-22,59.60,59.67,58.34,58.45,2326600,58.13
2014-10-21,57.25,59.02,57.06,58.96,1618000,58.64
2014-10-20,56.34,56.84,56.33,56.80,1216000,56.49
2014-10-17,56.65,57.68,56.12,56.49,1752200,56.18
2014-10-16,54.08,56.49,53.75,56.14,2593100,55.83
2014-10-15,52.71,54.51,51.57,54.31,2632000,54.01
