Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,113.96,114.07,112.77,113.05,7128500,113.05
2015-04-23,113.90,114.96,113.81,114.66,3451600,114.66
2015-04-22,114.83,114.96,113.77,113.83,5692400,113.83
2015-04-21,114.72,115.56,114.65,115.38,3315000,115.38
2015-04-20,114.82,114.95,114.32,114.72,3902200,114.72
2015-04-17,115.38,115.79,115.23,115.60,3479200,115.60
2015-04-16,115.55,115.66,114.64,115.03,3119000,115.03
2015-04-15,114.80,115.60,114.47,115.43,3648700,115.43
2015-04-14,114.69,115.07,114.39,114.44,3651500,114.44
2015-04-13,115.35,115.39,114.80,115.14,3190100,115.14
2015-04-10,116.00,116.19,115.50,115.97,3932400,115.97
2015-04-09,114.80,114.85,114.48,114.67,4706000,114.67
2015-04-08,115.98,116.03,114.90,115.47,5568500,115.47
2015-04-07,116.27,116.51,115.94,116.11,2468500,116.11
2015-04-06,117.32,117.47,116.52,116.69,5914200,116.69
2015-04-02,115.47,115.72,114.68,115.28,3884100,115.28
2015-04-01,114.56,115.99,114.54,115.60,7324000,115.60
2015-03-31,113.84,114.28,113.41,113.66,4383300,113.66
2015-03-30,113.90,114.01,113.54,113.75,4383900,113.75
2015-03-27,115.14,115.36,114.45,115.06,4921300,115.06
2015-03-26,115.73,115.84,115.34,115.48,5495200,115.48
2015-03-25,115.11,115.14,114.65,114.73,3021400,114.73
2015-03-24,114.35,114.65,113.82,114.57,2979300,114.57
2015-03-23,113.70,114.37,113.49,114.29,4240300,114.29
2015-03-20,112.71,114.00,112.67,113.57,8033400,113.57
2015-03-19,111.85,112.58,111.58,112.29,6537700,112.29
2015-03-18,110.33,112.87,110.09,112.37,12448000,112.37
2015-03-17,109.92,111.35,109.77,110.21,8923300,110.21
2015-03-16,111.09,111.21,110.42,110.81,3265300,110.81
2015-03-13,111.10,111.28,110.51,110.88,4557600,110.88
2015-03-12,111.15,111.20,110.25,110.72,6631500,110.72
2015-03-11,111.23,111.25,110.16,110.75,6550400,110.75
2015-03-10,112.09,112.35,111.22,111.42,7019800,111.42
2015-03-09,112.42,112.62,111.95,111.97,5534000,111.97
2015-03-06,113.17,113.26,111.70,111.86,11190800,111.86
2015-03-05,115.43,116.12,114.84,115.00,5872200,115.00
2015-03-04,115.70,115.79,115.02,115.11,4762400,115.11
2015-03-03,116.04,116.61,115.35,115.47,4738300,115.47
2015-03-02,116.50,116.64,115.62,115.68,7993300,115.68
2015-02-27,116.74,117.07,116.16,116.16,8255600,116.16
2015-02-26,116.54,116.55,115.83,116.07,4025400,116.07
2015-02-25,115.83,115.89,115.33,115.70,5032500,115.70
2015-02-24,115.00,115.55,114.29,115.26,7612900,115.26
2015-02-23,115.11,116.22,115.07,115.43,4812400,115.43
2015-02-20,116.10,116.46,115.05,115.28,6681700,115.28
2015-02-19,116.40,116.54,115.74,115.94,6528700,115.94
2015-02-18,115.99,116.53,114.99,116.34,8336000,116.34
2015-02-17,116.40,116.54,115.58,116.01,7225200,116.01
2015-02-13,118.05,118.58,117.79,117.98,4108900,117.98
2015-02-12,117.68,117.82,117.09,117.34,4344400,117.34
2015-02-11,118.49,118.57,117.00,117.07,6784400,117.07
2015-02-10,118.63,119.06,118.21,118.47,4085300,118.47
2015-02-09,118.83,119.40,118.77,119.17,5237200,119.17
2015-02-06,119.15,119.52,117.95,118.64,12949800,118.64
2015-02-05,120.98,121.83,120.61,121.79,6879900,121.79
2015-02-04,121.63,122.22,120.92,121.58,5386700,121.58
2015-02-03,121.74,121.76,120.57,121.05,8255900,121.05
2015-02-02,121.84,123.16,121.82,122.42,8885200,122.42
2015-01-30,121.30,123.55,120.92,123.45,14555900,123.45
2015-01-29,121.99,122.29,120.26,120.76,11998000,120.76
2015-01-28,123.52,123.89,122.94,123.42,8470600,123.42
2015-01-27,123.56,124.64,123.51,124.40,9584800,124.40
2015-01-26,123.33,123.35,122.52,122.99,6768600,122.99
2015-01-23,124.43,124.50,123.35,124.23,6266900,124.23
2015-01-22,125.07,125.58,124.15,125.23,10518400,125.23
2015-01-21,125.18,125.34,123.37,124.23,11082700,124.23
2015-01-20,123.63,124.60,123.49,124.20,14968600,124.20
2015-01-16,121.73,123.15,121.71,122.52,14428200,122.52
2015-01-15,120.41,121.70,120.34,120.94,17692500,120.94
2015-01-14,119.08,119.32,117.90,117.97,7727400,117.97
2015-01-13,118.96,119.19,117.87,118.16,7691300,118.16
2015-01-12,117.46,118.71,117.32,118.56,8318200,118.56
2015-01-09,116.51,117.34,116.50,117.26,7962900,117.26
2015-01-08,116.45,116.87,115.85,115.94,7033700,115.94
2015-01-07,116.47,116.88,116.17,116.43,6434200,116.43
2015-01-06,116.22,117.50,115.80,117.12,11232300,117.12
2015-01-05,114.78,116.00,114.73,115.80,8168500,115.80
2015-01-02,112.49,114.80,112.32,114.08,7109600,114.08
2014-12-31,114.89,115.00,113.28,113.58,7624200,113.58
2014-12-30,114.99,116.26,114.90,115.20,7987300,115.20
2014-12-29,114.61,114.64,113.23,113.67,12963700,113.67
2014-12-26,114.82,114.98,114.53,114.83,3758600,114.83
2014-12-24,112.83,112.92,112.66,112.77,1501500,112.77
2014-12-23,112.88,113.32,112.61,112.74,8127400,112.74
2014-12-22,114.81,114.97,112.41,112.55,7483200,112.55
2014-12-19,115.06,115.22,114.77,114.77,4652300,114.77
2014-12-18,115.59,115.81,114.58,115.15,5258100,115.15
2014-12-17,115.10,115.48,113.58,114.27,9097300,114.27
2014-12-16,116.28,116.50,114.07,114.95,9174000,114.95
2014-12-15,116.22,116.97,114.36,114.39,8796000,114.39
2014-12-12,117.39,117.80,116.68,117.41,4736500,117.41
2014-12-11,116.98,118.38,116.82,117.69,5214500,117.69
2014-12-10,118.15,118.47,117.81,117.96,4277400,117.96
2014-12-09,117.04,118.99,116.98,118.19,10462200,118.19
2014-12-08,114.97,116.16,114.46,115.78,5215700,115.78
2014-12-05,115.16,115.18,114.24,114.43,6331000,114.43
2014-12-04,116.01,116.34,115.61,115.88,3599000,115.88
2014-12-03,115.68,116.76,115.56,116.33,5755300,116.33
2014-12-02,115.13,115.71,114.72,115.14,6361400,115.14
2014-12-01,113.80,117.36,113.74,116.58,15644000,116.58
2014-11-28,113.53,113.83,111.95,112.11,9616300,112.11
2014-11-26,115.25,115.34,114.98,115.16,3181700,115.16
2014-11-25,115.10,115.47,114.90,115.38,9051800,115.38
2014-11-24,115.15,115.37,114.79,115.11,4694000,115.11
2014-11-21,115.58,115.96,114.47,115.39,6561300,115.39
2014-11-20,114.57,115.02,114.09,114.86,5607800,114.86
2014-11-19,114.93,115.35,112.88,113.68,11994200,113.68
2014-11-18,114.86,115.17,114.55,115.05,5583200,115.05
2014-11-17,113.97,114.27,113.56,114.05,5439700,114.05
2014-11-14,110.76,114.72,110.65,114.47,14170600,114.47
2014-11-13,111.89,112.26,111.22,111.67,4869900,111.67
2014-11-12,112.05,112.17,111.23,111.50,5130000,111.50
2014-11-11,111.08,112.76,110.87,112.04,8595800,112.04
2014-11-10,112.24,112.24,110.28,110.46,8548500,110.46
2014-11-07,110.78,113.15,110.73,112.97,10916500,112.97
2014-11-06,109.92,110.49,109.75,109.88,7019900,109.88
2014-11-05,109.92,110.84,109.67,109.79,13560100,109.79
2014-11-04,112.12,112.71,112.08,112.22,6430100,112.22
2014-11-03,112.39,112.68,112.00,112.15,6589800,112.15
2014-10-31,111.83,112.88,111.66,112.66,18208200,112.66
2014-10-30,115.80,115.83,114.94,115.19,7847100,115.19
2014-10-29,117.65,117.91,116.14,116.41,7900800,116.41
2014-10-28,118.48,118.48,118.01,118.10,3260100,118.10
2014-10-27,118.18,118.37,118.01,118.06,2443600,118.06
2014-10-24,118.62,118.63,118.12,118.35,3610600,118.35
2014-10-23,118.71,118.82,117.88,118.52,6417500,118.52
2014-10-22,119.69,119.79,119.25,119.34,3740200,119.34
2014-10-21,120.27,120.50,119.91,120.02,4566100,120.02
2014-10-20,119.68,119.86,119.54,119.80,3033700,119.80
2014-10-17,119.06,119.23,118.42,118.99,8059000,118.99
2014-10-16,119.02,119.65,118.88,119.22,6545400,119.22
2014-10-15,119.23,120.18,118.59,118.99,9453800,118.99
2014-10-14,118.58,118.82,118.35,118.59,5174800,118.59
2014-10-13,118.14,118.67,117.93,118.52,5396300,118.52
2014-10-10,117.70,117.74,117.19,117.59,4651400,117.59
2014-10-09,117.86,118.26,117.49,117.64,6610500,117.64
2014-10-08,117.03,117.71,115.85,117.47,10670900,117.47
2014-10-07,116.31,116.63,116.09,116.36,5274700,116.36
2014-10-06,115.16,116.31,114.94,116.03,7644100,116.03
2014-10-03,115.17,115.51,114.42,114.61,11301300,114.61
2014-10-02,116.86,117.21,116.33,116.74,6349900,116.74
2014-10-01,116.61,117.26,116.59,116.77,7018800,116.77
2014-09-30,116.54,117.35,115.85,116.21,10170100,116.21
2014-09-29,117.27,117.40,116.90,117.03,4049500,117.03
2014-09-26,117.02,117.10,116.58,117.06,4185200,117.06
2014-09-25,116.30,117.76,116.20,117.39,7631700,117.39
2014-09-24,117.12,117.72,116.90,117.05,5515000,117.05
2014-09-23,117.99,117.99,117.31,117.60,4664800,117.60
2014-09-22,116.72,117.37,116.58,116.85,7601600,116.85
2014-09-19,117.51,117.57,116.72,117.09,10930200,117.09
2014-09-18,117.41,118.09,117.19,117.78,5368700,117.78
2014-09-17,118.95,119.24,117.50,117.54,8328700,117.54
2014-09-16,118.85,119.43,118.44,118.83,6544500,118.83
2014-09-15,118.79,118.86,118.46,118.64,4775400,118.64
2014-09-12,118.63,118.90,118.07,118.38,8126500,118.38
2014-09-11,119.61,119.70,118.77,119.47,7612000,119.47
2014-09-10,120.13,120.54,119.64,120.26,7021500,120.26
2014-09-09,120.57,120.94,120.00,120.87,6157300,120.87
2014-09-08,121.58,121.61,120.37,120.73,7506500,120.73
2014-09-05,121.83,122.06,121.63,122.06,3490100,122.06
2014-09-04,122.48,122.66,121.25,121.48,7310600,121.48
2014-09-03,121.70,122.20,121.66,122.15,3414600,122.15
2014-09-02,121.97,122.08,121.43,121.65,10128600,121.65
2014-08-29,123.75,124.22,123.62,123.86,3683500,123.86
2014-08-28,124.15,124.33,123.81,124.00,3296700,124.00
2014-08-27,123.60,123.71,123.25,123.32,2576800,123.32
2014-08-26,123.92,123.97,123.28,123.35,3882300,123.35
2014-08-25,122.92,123.04,122.72,122.74,5012400,122.74
2014-08-22,123.09,123.33,122.57,123.19,4739200,123.19
2014-08-21,122.72,123.24,122.45,122.88,8008800,122.88
2014-08-20,124.82,124.82,123.88,124.22,4395600,124.22
2014-08-19,125.00,125.00,124.48,124.68,4878400,124.68
2014-08-18,124.78,125.08,124.65,124.96,4952500,124.96
2014-08-15,124.52,126.07,124.41,125.48,13070500,125.48
2014-08-14,126.24,126.53,126.13,126.31,3348500,126.31
2014-08-13,126.35,126.53,125.90,126.20,3969700,126.20
2014-08-12,126.42,126.81,125.87,125.99,4609700,125.99
2014-08-11,125.84,126.04,125.64,125.96,3163500,125.96
2014-08-08,126.08,126.41,125.89,126.19,5728200,126.19
2014-08-07,125.47,126.51,125.37,126.18,7298900,126.18
