Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,25.86,26.29,25.71,26.21,2573800,26.21
2015-03-26,26.05,26.15,25.76,25.85,2951900,25.85
2015-03-25,26.79,26.92,26.03,26.13,3474500,26.13
2015-03-24,26.58,27.09,26.41,26.79,2435400,26.79
2015-03-23,26.80,26.96,26.55,26.62,2502300,26.62
2015-03-20,26.27,26.92,26.26,26.76,4113400,26.76
2015-03-19,26.14,26.30,25.97,26.27,2483400,26.27
2015-03-18,25.69,26.35,25.49,26.21,3108800,26.21
2015-03-17,26.10,26.12,25.78,25.84,3250700,25.84
2015-03-16,26.55,26.66,26.29,26.29,2438200,26.29
2015-03-13,26.88,26.90,26.26,26.46,2821700,26.46
2015-03-12,26.37,26.93,26.30,26.92,3173900,26.92
2015-03-11,26.15,26.29,25.95,26.18,2314800,26.18
2015-03-10,25.91,26.28,25.75,26.14,4056900,26.14
2015-03-09,26.06,26.24,25.98,26.09,1981700,26.09
2015-03-06,26.68,26.68,25.93,25.97,3117500,25.97
2015-03-05,26.47,26.92,26.47,26.83,3071900,26.83
2015-03-04,26.22,26.51,25.97,26.48,3231900,26.48
2015-03-03,26.45,26.53,26.21,26.39,2273400,26.39
2015-03-02,26.19,26.54,26.13,26.53,4151200,26.53
2015-02-27,26.25,26.39,26.14,26.19,2155200,26.19
2015-02-26,26.75,26.75,26.14,26.22,3084700,26.22
2015-02-25,26.87,26.95,26.64,26.79,2057600,26.79
2015-02-24,26.73,27.05,26.72,26.84,4981300,26.84
2015-02-23,26.83,26.95,26.43,26.57,2611000,26.57
2015-02-20,26.63,26.78,26.42,26.75,3180200,26.75
2015-02-19,26.60,26.92,26.58,26.79,2505000,26.79
2015-02-18,26.73,26.73,26.49,26.66,2210500,26.66
2015-02-17,26.41,26.88,26.35,26.77,2237600,26.77
2015-02-13,26.43,26.62,26.26,26.45,2678600,26.45
2015-02-12,26.19,26.49,26.19,26.43,3531000,26.43
2015-02-11,26.25,26.50,26.09,26.12,3032200,26.12
2015-02-10,26.02,26.58,25.77,26.32,5551900,26.32
2015-02-09,27.24,27.40,26.04,26.21,7140200,26.21
2015-02-06,25.63,26.15,25.54,26.05,5667500,26.05
2015-02-05,26.13,26.13,25.17,25.59,5557500,25.59
2015-02-04,25.85,26.37,25.76,26.12,5119900,26.12
2015-02-03,25.34,25.98,25.28,25.97,4100100,25.97
2015-02-02,25.06,25.33,24.61,25.16,4599300,25.16
2015-01-30,25.23,25.32,24.81,24.84,3366000,24.84
2015-01-29,24.88,25.51,24.70,25.42,3690600,25.42
2015-01-28,25.34,25.51,24.98,25.02,3096900,25.02
2015-01-27,25.02,25.27,24.91,25.15,3338600,25.15
2015-01-26,24.73,25.37,24.52,25.34,3810100,25.34
2015-01-23,24.62,24.71,24.38,24.65,3392700,24.65
2015-01-22,24.26,24.74,24.13,24.62,5230300,24.62
2015-01-21,23.61,24.18,23.61,24.10,5025400,24.10
2015-01-20,24.28,24.35,23.53,23.70,3621900,23.70
2015-01-16,23.70,24.21,23.23,24.17,4226900,24.17
2015-01-15,24.50,24.59,23.73,23.76,6124900,23.76
2015-01-14,24.46,24.67,24.12,24.45,4997700,24.45
2015-01-13,25.43,25.72,24.32,24.75,5264000,24.75
2015-01-12,25.48,25.55,25.14,25.19,3129600,25.19
2015-01-09,25.89,25.94,25.36,25.38,5750000,25.38
2015-01-08,25.08,25.84,25.00,25.82,4808500,25.82
2015-01-07,24.64,25.00,24.58,24.83,2725200,24.83
2015-01-06,24.62,24.80,24.21,24.55,3432500,24.46
2015-01-05,24.87,24.94,24.39,24.58,2948600,24.49
