Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,14.50,14.50,14.12,14.32,5081800,14.32
2015-03-26,14.94,15.13,14.45,14.67,6327700,14.67
2015-03-25,14.27,14.92,14.22,14.65,6855500,14.65
2015-03-24,14.42,14.55,13.97,14.10,6419000,14.10
2015-03-23,13.74,14.61,13.74,14.44,10507500,14.44
2015-03-20,13.85,14.04,13.58,13.72,16441600,13.72
2015-03-19,14.02,14.06,13.52,13.55,5969200,13.55
2015-03-18,13.56,14.39,13.45,14.31,7259800,14.31
2015-03-17,13.61,13.79,13.51,13.69,6393900,13.69
2015-03-16,13.44,13.79,13.15,13.79,7675500,13.79
2015-03-13,14.05,14.05,13.26,13.56,9831300,13.56
2015-03-12,14.17,14.27,13.84,14.21,7936500,14.21
2015-03-11,14.28,14.30,13.70,14.09,7730200,14.09
2015-03-10,14.17,14.50,14.13,14.27,7486300,14.27
2015-03-09,15.10,15.25,14.34,14.36,11736200,14.36
2015-03-06,15.88,16.04,15.17,15.19,7857900,15.19
2015-03-05,16.16,16.24,15.84,15.97,8278500,15.97
2015-03-04,16.31,16.32,15.92,16.22,5089600,16.22
2015-03-03,15.62,16.46,15.57,16.27,8237900,16.27
2015-03-02,16.54,16.54,15.52,15.94,10080800,15.94
2015-02-27,16.71,16.98,16.52,16.64,6919300,16.64
2015-02-26,17.83,17.85,16.51,16.60,8867400,16.60
2015-02-25,17.89,17.99,17.41,17.83,6419500,17.83
2015-02-24,18.73,18.89,17.65,17.83,8493700,17.83
2015-02-23,18.61,18.95,18.25,18.63,6199700,18.63
2015-02-20,19.56,19.62,18.86,19.05,6113800,19.05
2015-02-19,18.61,19.60,18.52,19.51,7332900,19.51
2015-02-18,19.08,19.57,18.96,19.19,6821800,19.19
2015-02-17,18.41,19.50,18.26,19.48,8230800,19.48
2015-02-13,18.72,18.77,18.32,18.54,5461100,18.54
2015-02-12,18.34,18.87,18.15,18.24,6086200,18.24
2015-02-11,18.12,18.12,17.38,18.00,6815300,18.00
2015-02-10,19.16,19.16,18.05,18.45,9889800,18.45
2015-02-09,18.31,19.47,18.24,19.28,10821800,19.28
2015-02-06,17.69,18.46,17.63,18.19,9127200,18.19
2015-02-05,17.22,17.90,16.79,17.77,11415200,17.40
2015-02-04,17.72,17.72,16.66,17.13,8502500,16.77
2015-02-03,17.47,18.13,17.47,17.97,9454700,17.59
2015-02-02,16.54,17.25,16.16,17.19,9514700,16.83
2015-01-30,15.77,16.46,15.56,16.22,8947400,15.88
2015-01-29,15.97,16.01,15.45,15.94,5897100,15.60
2015-01-28,17.10,17.10,15.96,15.98,9777600,15.64
2015-01-27,16.73,17.44,16.67,17.20,6240700,16.84
2015-01-26,16.57,16.97,16.46,16.83,5329200,16.47
2015-01-23,16.93,17.20,16.51,16.53,4660200,16.18
2015-01-22,17.23,17.47,16.57,16.97,5602900,16.61
2015-01-21,16.36,17.28,16.18,17.18,7556000,16.82
2015-01-20,16.39,16.41,15.71,16.18,6073300,15.84
2015-01-16,15.72,16.49,15.72,16.48,7327700,16.13
2015-01-15,16.25,16.40,15.57,15.61,6662600,15.28
2015-01-14,16.03,16.39,15.29,15.91,10437100,15.57
2015-01-13,15.90,16.40,15.84,16.11,9235000,15.77
2015-01-12,15.91,15.99,15.19,15.89,7239600,15.55
2015-01-09,16.01,16.24,15.53,16.15,7143800,15.81
2015-01-08,15.61,15.90,15.40,15.77,6786400,15.44
2015-01-07,15.59,15.69,14.97,15.43,8246500,15.10
2015-01-06,15.57,15.73,15.11,15.41,11088100,15.08
2015-01-05,16.50,16.50,15.58,15.66,8066900,15.33
2015-01-02,16.44,17.06,16.33,16.84,6216900,16.48
2014-12-31,16.91,16.91,16.52,16.57,7780000,16.22
2014-12-30,17.32,17.34,16.76,17.04,6277100,16.68
2014-12-29,17.53,17.64,17.17,17.30,6951400,16.93
2014-12-26,17.28,17.70,17.07,17.33,6091900,16.96
2014-12-24,17.52,17.54,16.71,17.05,6544200,16.69
2014-12-23,18.48,18.60,17.46,17.61,10860300,17.24
2014-12-22,19.34,19.35,17.74,18.16,10810500,17.78
2014-12-19,17.06,18.72,17.06,18.63,17860900,18.24
2014-12-18,16.88,17.35,16.64,17.01,16271600,16.65
2014-12-17,15.03,16.87,15.00,16.40,12312800,16.05
2014-12-16,14.56,15.82,14.47,14.99,8563300,14.67
2014-12-15,14.71,15.13,14.56,14.67,8210000,14.36
2014-12-12,14.72,15.13,14.48,14.52,9360300,14.21
2014-12-11,15.13,15.48,14.84,14.93,7956100,14.61
2014-12-10,15.90,15.90,14.97,15.19,9375600,14.87
2014-12-09,15.73,16.22,15.42,16.21,13668600,15.87
2014-12-08,16.09,16.18,15.62,15.70,8802700,15.37
2014-12-05,16.51,16.73,15.83,16.38,9862000,16.03
2014-12-04,17.00,17.13,16.44,16.59,11674900,16.24
2014-12-03,17.17,17.66,17.01,17.11,13707300,16.75
2014-12-02,17.71,18.10,17.12,17.18,10703000,16.82
2014-12-01,17.90,18.05,17.33,17.90,9710800,17.52
2014-11-28,18.74,18.74,17.62,17.99,6421200,17.61
2014-11-26,20.43,20.45,19.50,19.71,8423100,19.29
2014-11-25,21.21,21.31,20.57,20.76,5693300,20.32
2014-11-24,21.24,21.43,20.92,21.21,4762900,20.76
2014-11-21,21.17,21.61,20.88,21.30,5005200,20.85
2014-11-20,20.53,21.05,20.46,20.84,3746300,20.40
2014-11-19,20.62,20.74,20.13,20.53,3858500,20.10
2014-11-18,20.84,21.11,20.59,20.63,4439100,20.19
2014-11-17,20.59,20.97,20.24,20.79,8267600,20.35
2014-11-14,21.32,21.68,20.56,20.81,7694700,20.37
2014-11-13,21.32,21.57,20.61,21.12,16523400,20.67
2014-11-12,20.92,21.79,20.92,21.54,7470900,21.09
2014-11-11,21.14,21.52,20.86,21.24,6983600,20.79
2014-11-10,22.05,22.35,21.03,21.15,7706900,20.70
2014-11-07,20.90,22.03,20.88,21.83,7361600,21.37
2014-11-06,20.05,21.12,19.90,21.12,8462800,20.67
2014-11-05,19.44,20.30,19.18,20.26,8793700,19.83
2014-11-04,20.00,20.00,19.14,19.15,10620800,18.75
2014-11-03,20.95,21.09,20.15,20.31,7887900,19.88
2014-10-31,20.49,20.92,20.00,20.92,5874800,20.48
2014-10-30,20.13,20.77,19.75,20.53,9066100,20.10
2014-10-29,21.22,21.49,20.27,20.57,7762700,19.77
2014-10-28,21.00,21.07,20.46,20.93,9242500,20.11
2014-10-27,20.23,20.34,19.74,20.12,6063700,19.34
2014-10-24,20.64,20.66,20.11,20.58,4994400,19.78
2014-10-23,20.46,20.95,20.25,20.78,7421600,19.97
2014-10-22,20.65,20.96,20.05,20.07,5967100,19.29
2014-10-21,20.00,20.69,19.85,20.64,6750500,19.84
2014-10-20,19.53,19.84,19.13,19.83,4938000,19.06
2014-10-17,19.67,20.40,19.25,19.50,8969000,18.74
2014-10-16,18.41,19.84,18.30,19.33,13959000,18.58
2014-10-15,18.59,18.92,17.93,18.88,15833100,18.14
2014-10-14,18.80,19.51,18.12,18.57,11816700,17.85
2014-10-13,18.91,19.49,18.50,18.62,10885700,17.89
2014-10-10,19.71,19.71,18.66,18.87,12794800,18.14
2014-10-09,20.34,20.38,19.46,19.50,7722700,18.74
2014-10-08,20.52,20.54,19.68,20.50,8106200,19.70
2014-10-07,20.50,21.30,20.37,20.58,10494600,19.78
2014-10-06,20.34,20.79,20.06,20.56,9203500,19.76
2014-10-03,21.20,21.28,20.10,20.24,13399600,19.45
2014-10-02,20.95,21.51,20.82,21.19,11781400,20.36
2014-10-01,22.19,22.37,20.95,21.09,14422500,20.27
2014-09-30,22.45,22.55,21.80,22.22,7167800,21.35
2014-09-29,22.89,22.93,22.47,22.54,5810600,21.66
2014-09-26,22.87,23.19,22.74,23.04,6332000,22.14
2014-09-25,23.24,23.35,22.89,22.92,4951600,22.03
2014-09-24,23.60,23.66,22.94,23.32,5811400,22.41
2014-09-23,23.77,24.05,23.58,23.59,6298200,22.67
2014-09-22,24.12,24.12,23.57,23.84,6816500,22.91
2014-09-19,24.54,24.69,24.01,24.28,9937200,23.33
2014-09-18,24.82,24.84,24.18,24.48,5684700,23.53
2014-09-17,25.50,25.55,24.62,24.64,8222300,23.68
2014-09-16,25.47,25.69,25.33,25.44,4764000,24.45
2014-09-15,25.86,25.86,25.27,25.42,8011900,24.43
2014-09-12,27.09,27.14,25.94,25.95,9741700,24.94
2014-09-11,26.75,27.37,26.51,27.30,4522000,26.24
2014-09-10,26.63,26.94,26.26,26.92,4646200,25.87
2014-09-09,26.38,26.84,26.31,26.70,4917000,25.66
2014-09-08,26.50,26.53,26.26,26.52,4158700,25.49
2014-09-05,26.91,27.02,26.50,26.60,5214400,25.56
2014-09-04,27.68,27.70,26.82,26.99,6165300,25.94
2014-09-03,28.02,28.36,27.71,27.85,6076800,26.77
2014-09-02,28.43,28.50,27.43,27.47,4851000,26.40
2014-08-29,27.98,28.46,27.87,28.46,3227700,27.35
2014-08-28,28.04,28.13,27.92,27.94,2707600,26.85
2014-08-27,27.77,28.11,27.63,28.04,4011500,26.95
2014-08-26,27.55,27.86,27.55,27.80,3002400,26.72
2014-08-25,27.69,27.79,27.41,27.51,2567500,26.44
2014-08-22,27.77,27.87,27.39,27.68,3443400,26.60
2014-08-21,27.90,28.01,27.77,27.94,3101500,26.85
2014-08-20,27.80,27.97,27.50,27.96,2951400,26.87
2014-08-19,27.35,27.87,27.30,27.85,3748400,26.77
2014-08-18,27.23,27.45,27.14,27.28,3307300,26.22
2014-08-15,27.20,27.31,26.85,27.16,13047600,26.10
2014-08-14,26.90,27.50,26.86,27.14,7100600,26.08
2014-08-13,26.85,27.04,26.53,26.59,2791900,25.55
2014-08-12,27.09,27.27,26.71,26.78,3163500,25.74
2014-08-11,26.83,27.35,26.72,27.16,4912500,26.10
2014-08-08,26.15,26.85,26.04,26.83,4729100,25.79
2014-08-07,26.61,26.75,26.14,26.27,4103100,24.89
2014-08-06,26.50,26.95,26.40,26.44,4801600,25.05
2014-08-05,26.83,26.87,26.10,26.55,10329500,25.15
2014-08-04,27.16,27.23,26.41,27.00,6264900,25.58
2014-08-01,31.16,31.37,30.68,31.08,6744100,25.74
