Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,73.04,73.63,72.55,72.72,3283200,72.72
2015-03-26,74.61,74.70,73.12,73.73,4952500,73.73
2015-03-25,72.98,74.24,72.71,73.72,4783400,73.72
2015-03-24,72.90,73.24,72.41,72.45,2861900,72.45
2015-03-23,73.11,73.77,72.84,72.86,3767500,72.86
2015-03-20,72.46,73.89,72.28,72.72,13407500,72.72
2015-03-19,72.81,73.13,71.70,71.87,5466400,71.87
2015-03-18,72.06,74.60,71.75,74.01,4181500,74.01
2015-03-17,72.99,73.24,72.18,72.36,3941500,72.36
2015-03-16,72.38,73.17,72.10,73.11,5442600,73.11
2015-03-13,73.80,73.96,72.40,72.84,6199700,72.84
2015-03-12,74.71,75.05,74.23,74.58,4268800,74.58
2015-03-11,73.62,74.67,73.56,74.26,3457800,74.26
2015-03-10,73.87,74.52,73.55,73.82,4199400,73.82
2015-03-09,74.79,75.78,74.59,74.80,3399900,74.80
2015-03-06,76.39,76.86,74.51,74.77,5085400,74.77
2015-03-05,78.13,78.20,77.18,77.49,3614600,76.77
2015-03-04,77.88,78.38,77.23,78.33,3216800,77.60
2015-03-03,77.80,78.80,77.47,78.01,4275300,77.29
2015-03-02,77.86,77.86,76.65,77.74,4456100,77.02
2015-02-27,78.63,78.84,77.68,77.88,5123800,77.16
2015-02-26,79.34,79.61,77.85,78.32,4696400,77.59
2015-02-25,79.91,80.52,79.58,80.21,2892400,79.46
2015-02-24,80.48,80.57,79.33,79.75,2710900,79.01
2015-02-23,79.37,80.56,79.10,79.80,3162300,79.06
2015-02-20,80.82,81.11,79.75,80.10,3783100,79.36
2015-02-19,79.07,81.37,79.01,80.61,4521500,79.86
2015-02-18,82.53,82.53,81.25,81.37,5191200,80.61
2015-02-17,82.52,83.08,82.05,82.53,4490800,81.76
2015-02-13,83.16,83.74,82.55,83.11,4523000,82.34
2015-02-12,80.93,82.23,80.56,82.04,6010500,81.28
2015-02-11,79.91,80.73,79.06,79.98,4827800,79.24
2015-02-10,81.22,81.51,79.46,81.31,5630800,80.55
2015-02-09,82.24,83.22,81.06,81.26,6582500,80.50
2015-02-06,82.99,83.25,81.64,81.75,4655200,80.99
2015-02-05,81.86,82.90,81.45,82.12,5247000,81.36
2015-02-04,80.97,81.67,79.80,80.85,6871300,80.10
2015-02-03,81.29,82.29,80.60,82.15,7136800,81.39
2015-02-02,81.78,82.18,78.56,80.16,7964100,79.42
2015-01-30,77.82,81.36,77.32,80.00,9218100,79.26
2015-01-29,78.29,78.41,75.55,78.31,6297600,77.58
2015-01-28,79.09,79.41,76.28,76.50,6174800,75.79
2015-01-27,79.92,80.49,79.02,79.41,4468000,78.67
2015-01-26,78.88,80.35,78.30,80.32,3871400,79.57
2015-01-23,78.70,79.88,78.16,78.85,4870100,78.12
2015-01-22,80.00,80.00,77.72,78.86,5221600,78.13
2015-01-21,78.43,79.55,78.14,79.24,4491700,78.50
2015-01-20,77.75,78.01,75.92,78.01,5610800,77.29
2015-01-16,76.47,78.26,76.40,78.06,6564100,77.33
2015-01-15,76.60,76.87,74.94,75.99,7271500,75.28
2015-01-14,73.82,75.78,73.15,75.48,7109800,74.78
2015-01-13,74.99,76.07,74.25,74.97,7084500,74.27
2015-01-12,76.32,76.51,74.62,74.95,7118000,74.25
2015-01-09,78.15,78.20,76.07,77.54,5203800,76.82
2015-01-08,77.81,78.76,77.48,77.69,6734700,76.97
2015-01-07,77.94,78.28,76.00,77.01,5475300,76.29
2015-01-06,77.07,78.23,76.06,77.00,6038100,76.28
2015-01-05,79.38,79.38,76.91,77.66,6104700,76.94
2015-01-02,80.01,81.10,79.28,80.65,3634600,79.90
2014-12-31,80.63,81.32,79.81,80.61,3555800,79.86
2014-12-30,81.67,81.69,80.41,81.40,4135200,80.64
2014-12-29,82.57,83.10,81.23,81.71,4192900,80.95
2014-12-26,82.48,82.67,81.49,82.05,2665900,81.29
2014-12-24,82.17,82.50,81.02,82.24,3094700,81.48
2014-12-23,81.27,83.25,80.95,82.90,7762500,82.13
2014-12-22,81.19,81.48,79.21,80.79,7211900,80.04
2014-12-19,78.94,81.52,78.35,81.52,10499100,80.76
2014-12-18,79.62,79.99,77.08,79.17,8062100,78.43
2014-12-17,74.77,78.28,74.72,77.80,8763300,77.08
2014-12-16,72.47,76.51,72.32,74.41,8883700,73.72
2014-12-15,75.07,75.80,72.90,73.16,6563400,72.48
2014-12-12,73.96,75.71,73.35,74.22,7160300,73.53
2014-12-11,74.68,76.74,74.66,75.08,6034300,74.38
2014-12-10,75.65,76.24,74.36,75.14,7767400,74.44
2014-12-09,75.94,77.97,75.80,77.45,7587400,76.73
2014-12-08,79.30,79.50,75.79,76.11,9369900,75.40
2014-12-05,82.05,82.48,81.20,81.48,7164600,80.01
2014-12-04,82.15,82.97,81.86,82.54,6847700,81.05
