Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,196.55,197.85,195.98,197.48,515700,197.48
2015-03-26,195.68,197.72,195.39,196.58,447000,196.58
2015-03-25,199.47,200.23,196.74,196.83,637600,196.83
2015-03-24,201.47,202.81,199.38,199.38,699400,199.38
2015-03-23,198.82,202.69,197.70,201.56,1158000,201.56
2015-03-20,195.12,199.41,194.23,199.12,983500,199.12
2015-03-19,193.83,195.38,193.26,194.24,587300,194.24
2015-03-18,190.16,194.35,188.37,193.73,671800,193.73
2015-03-17,190.48,191.33,189.39,190.19,495700,190.19
2015-03-16,189.14,191.53,189.14,190.77,624900,190.77
2015-03-13,188.50,189.19,186.63,188.83,643700,188.83
2015-03-12,185.71,188.42,185.61,188.23,776300,188.23
2015-03-11,186.45,188.22,185.20,185.86,1021700,184.46
2015-03-10,187.65,188.47,186.01,186.65,876000,185.24
2015-03-09,189.01,190.79,187.93,187.96,749400,186.54
2015-03-06,192.05,192.39,187.83,188.15,1066200,186.73
2015-03-05,195.22,196.82,194.04,195.60,499300,194.13
2015-03-04,196.71,197.30,194.77,195.18,597800,193.71
2015-03-03,197.36,197.48,195.52,196.92,473900,195.44
2015-03-02,195.95,199.67,195.95,197.55,635800,196.06
2015-02-27,197.09,197.74,195.38,197.22,626200,195.73
2015-02-26,198.15,198.59,196.03,196.76,452100,195.28
2015-02-25,198.17,199.84,197.41,198.28,498600,196.79
2015-02-24,200.14,200.90,198.28,198.50,571100,197.00
2015-02-23,200.56,201.71,199.43,201.01,611600,199.50
2015-02-20,199.87,201.71,198.79,200.18,950300,198.67
2015-02-19,202.13,202.55,198.34,198.79,748900,197.29
2015-02-18,203.28,203.58,200.84,203.16,508200,201.63
2015-02-17,202.75,204.09,201.96,203.13,724500,201.60
2015-02-13,203.46,203.46,201.10,202.61,447600,201.08
2015-02-12,202.69,204.17,201.68,203.79,459200,202.25
2015-02-11,204.18,204.92,201.81,202.83,737100,201.30
2015-02-10,203.65,204.10,201.71,203.68,657700,202.15
2015-02-09,204.25,204.63,202.29,202.60,781300,201.07
2015-02-06,206.12,206.17,202.96,204.47,1866500,202.93
2015-02-05,202.72,206.81,202.57,206.76,639500,205.20
2015-02-04,202.06,203.30,200.51,202.66,679600,201.13
2015-02-03,201.87,203.06,200.06,203.03,663200,201.50
2015-02-02,201.01,202.13,197.82,201.75,628600,200.23
2015-01-30,203.38,203.87,200.74,200.84,1259800,199.33
2015-01-29,202.66,204.41,201.59,204.19,333300,202.65
2015-01-28,205.50,206.92,202.68,202.76,468000,201.23
2015-01-27,203.64,206.14,203.08,204.67,443000,203.13
2015-01-26,202.73,204.51,201.54,204.39,513700,202.85
2015-01-23,204.08,206.16,202.17,202.75,532600,201.22
2015-01-22,201.46,205.45,201.05,205.22,765700,203.67
2015-01-21,201.72,202.09,200.18,201.01,558100,199.50
2015-01-20,203.36,203.78,201.82,202.58,555200,201.05
2015-01-16,199.82,202.65,198.56,202.25,609500,200.73
2015-01-15,198.82,201.14,198.55,199.44,720600,197.94
2015-01-14,197.98,199.48,197.01,198.82,608400,197.32
2015-01-13,198.75,200.40,198.20,198.92,766700,197.42
2015-01-12,198.52,199.28,197.93,198.15,403500,196.66
