Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,449.48,460.12,448.04,454.50,855900,454.50
2015-03-26,448.00,457.72,441.87,448.38,1132900,448.38
2015-03-25,474.48,478.74,452.01,453.99,1413100,453.99
2015-03-24,478.36,482.98,473.12,473.74,839700,473.74
2015-03-23,480.83,481.88,471.11,478.32,1072600,478.32
2015-03-20,493.32,495.50,476.26,488.87,1572200,488.87
2015-03-19,475.09,486.63,472.45,486.02,1109500,486.02
2015-03-18,465.08,475.95,461.32,472.11,996100,472.11
2015-03-17,450.02,468.50,447.32,467.80,1705400,467.80
2015-03-16,436.56,452.36,436.56,451.77,1608700,451.77
2015-03-13,425.00,435.00,424.50,429.38,807900,429.38
2015-03-12,427.39,427.44,422.21,425.16,541200,425.16
2015-03-11,425.78,429.87,424.03,424.55,730800,424.55
2015-03-10,424.00,427.81,420.78,422.84,693100,422.84
2015-03-09,424.44,430.99,420.15,426.87,703000,426.87
2015-03-06,428.67,431.69,421.15,422.13,744600,422.13
2015-03-05,414.93,430.67,414.21,428.95,1165800,428.95
2015-03-04,409.17,415.88,408.21,413.04,590500,413.04
2015-03-03,418.58,418.82,406.85,412.51,586600,412.51
2015-03-02,416.28,419.60,414.17,418.44,613400,418.44
2015-02-27,421.04,421.07,411.04,413.84,811000,413.84
2015-02-26,425.00,427.93,416.20,419.87,690400,419.87
2015-02-25,420.16,427.00,417.00,423.04,764700,423.04
2015-02-24,426.36,426.55,415.77,420.64,723400,420.64
2015-02-23,423.92,432.38,423.50,425.11,865500,425.11
2015-02-20,425.00,428.23,421.16,423.78,886600,423.78
2015-02-19,408.50,428.47,407.49,426.60,1451000,426.60
2015-02-18,404.48,408.41,400.51,405.80,478700,405.80
2015-02-17,402.00,406.50,400.75,404.18,731100,404.18
2015-02-13,404.54,406.50,397.60,402.40,802700,402.40
2015-02-12,401.00,405.20,396.62,401.74,660900,401.74
2015-02-11,399.50,406.90,398.81,398.99,690500,398.99
2015-02-10,402.65,407.76,394.01,400.71,1580900,400.71
2015-02-09,407.55,409.15,397.70,399.72,1023800,399.72
2015-02-06,413.47,414.47,405.26,406.86,622500,406.86
2015-02-05,403.55,415.47,403.17,413.87,760300,413.87
2015-02-04,400.47,407.89,393.00,401.36,1195100,401.36
2015-02-03,416.52,416.52,398.71,409.20,933100,409.20
2015-02-02,419.79,420.99,407.64,413.09,637700,413.09
2015-01-30,410.88,424.74,410.60,416.66,1060000,416.66
2015-01-29,408.68,415.50,401.17,414.64,583500,414.64
2015-01-28,417.64,420.60,407.50,408.00,641000,408.00
2015-01-27,417.23,422.07,413.65,415.74,704800,415.74
2015-01-26,419.91,427.45,417.01,423.77,453600,423.77
2015-01-23,421.06,422.91,414.59,420.21,387600,420.21
2015-01-22,418.97,421.29,406.50,420.81,589500,420.81
2015-01-21,418.15,423.91,412.01,418.11,687400,418.11
2015-01-20,410.78,422.53,405.15,421.11,803000,421.11
2015-01-16,398.18,409.70,395.66,408.69,1036700,408.69
2015-01-15,405.48,407.22,395.56,397.12,982900,397.12
2015-01-14,403.12,408.52,401.42,404.31,968600,404.31
2015-01-13,417.73,425.49,402.52,406.49,1438200,406.49
2015-01-12,414.02,419.44,409.50,413.33,664500,413.33
2015-01-09,409.78,419.19,404.16,411.04,1207600,411.04
2015-01-08,411.57,412.99,401.16,403.25,1184500,403.25
2015-01-07,402.79,408.68,398.50,407.72,880600,407.72
2015-01-06,414.39,420.75,396.55,396.89,1262400,396.89
2015-01-05,414.26,419.41,409.04,412.47,882800,412.47
2015-01-02,413.90,419.15,407.50,410.16,765900,410.16
2014-12-31,410.57,416.99,408.57,410.25,759900,410.25
2014-12-30,413.63,416.98,406.51,408.34,464700,408.34
2014-12-29,412.82,414.96,405.36,413.87,652500,413.87
2014-12-26,403.45,414.84,402.12,413.48,721600,413.48
2014-12-24,392.60,404.50,392.14,400.12,641600,400.12
2014-12-23,410.38,410.96,383.87,394.05,2133900,394.05
2014-12-22,421.00,422.80,410.15,412.97,857400,412.97
2014-12-19,423.13,432.46,420.53,427.64,1386900,427.64
2014-12-18,415.49,424.44,412.40,423.79,733800,423.79
2014-12-17,398.40,411.57,396.13,410.99,668800,410.99
2014-12-16,394.74,411.16,388.16,396.13,927500,396.13
2014-12-15,419.95,421.89,397.82,401.01,1026100,401.01
2014-12-12,420.18,427.10,416.00,416.44,575700,416.44
2014-12-11,425.69,432.22,423.52,424.35,501000,424.35
2014-12-10,433.15,435.78,421.26,422.93,568900,422.93
2014-12-09,428.27,436.08,425.42,432.67,860800,432.67
2014-12-08,423.40,437.64,421.83,434.95,579800,434.95
2014-12-05,424.77,424.99,420.86,423.23,453300,423.23
2014-12-04,423.43,427.78,420.74,423.21,657300,423.21
2014-12-03,422.22,425.28,415.52,424.41,488700,424.41
2014-12-02,411.00,422.82,409.90,421.24,686700,421.24
2014-12-01,413.98,414.80,407.99,408.72,638900,408.72
2014-11-28,416.00,418.00,414.54,416.11,336900,416.11
2014-11-26,413.93,415.95,412.08,415.84,443700,415.84
2014-11-25,416.37,416.49,408.48,413.00,818400,413.00
2014-11-24,405.66,411.97,405.28,409.75,652500,409.75
2014-11-21,415.27,416.00,403.29,405.25,890500,405.25
2014-11-20,413.21,417.86,405.96,406.00,645800,406.00
2014-11-19,411.36,419.27,408.36,415.25,631100,415.25
2014-11-18,399.99,414.67,399.18,413.22,977700,413.22
2014-11-17,396.03,408.29,395.20,399.65,887700,399.65
2014-11-14,402.42,402.87,392.31,395.20,789700,395.20
2014-11-13,400.00,402.80,395.10,402.63,703700,402.63
2014-11-12,396.20,402.05,395.81,401.11,623400,401.11
2014-11-11,390.09,400.00,387.19,398.36,1156800,398.36
2014-11-10,379.50,386.86,376.54,385.97,541100,385.97
2014-11-07,378.24,381.00,374.68,377.84,622200,377.84
2014-11-06,371.01,377.45,367.78,376.94,699200,376.94
2014-11-05,375.16,377.99,365.25,368.51,888400,368.51
2014-11-04,372.12,384.43,368.45,372.39,1848700,372.39
2014-11-03,395.27,397.98,389.12,395.26,854600,395.26
2014-10-31,400.15,400.87,391.20,393.72,663100,393.72
2014-10-30,386.29,394.65,386.27,392.80,709100,392.80
2014-10-29,397.00,397.89,385.02,387.70,1055400,387.70
2014-10-28,408.35,410.18,397.12,397.89,1028200,397.89
2014-10-27,402.10,407.88,397.50,407.16,559900,407.16
2014-10-24,396.00,404.60,393.21,402.50,822400,402.50
2014-10-23,387.00,397.35,386.50,393.96,870300,393.96
2014-10-22,380.06,384.85,373.34,384.46,1025700,384.46
2014-10-21,370.64,381.03,366.14,381.01,1051200,381.01
2014-10-20,367.79,369.00,360.10,366.13,1147200,366.13
2014-10-17,366.99,376.88,362.02,369.64,2470800,369.64
2014-10-16,326.50,344.48,326.09,340.71,937800,340.71
2014-10-15,324.00,337.03,320.06,334.75,1238100,334.75
2014-10-14,334.09,335.66,323.80,328.07,1155200,328.07
2014-10-13,341.89,344.98,330.89,332.10,869100,332.10
2014-10-10,353.38,357.75,343.28,343.51,753400,343.51
2014-10-09,361.24,361.26,352.00,355.04,648900,355.04
2014-10-08,353.83,361.07,350.79,360.15,742100,360.15
2014-10-07,356.99,359.68,353.10,354.21,591700,354.21
2014-10-06,363.48,365.00,356.60,359.19,453000,359.19
2014-10-03,355.54,362.46,355.54,361.60,758000,361.60
2014-10-02,355.79,358.25,353.05,353.69,666300,353.69
2014-10-01,363.95,363.95,352.91,355.61,668900,355.61
2014-09-30,355.79,361.70,353.11,360.52,1003900,360.52
2014-09-29,355.02,358.10,351.55,354.96,357400,354.96
2014-09-26,357.23,359.00,351.48,358.18,692500,358.18
2014-09-25,363.35,364.71,354.00,355.54,692100,355.54
2014-09-24,357.22,365.33,357.06,364.41,639500,364.41
2014-09-23,357.42,361.23,355.33,357.22,953000,357.22
2014-09-22,358.00,360.17,355.38,359.92,743900,359.92
2014-09-19,365.59,365.59,357.29,358.92,2635000,358.92
2014-09-18,359.84,362.90,357.25,362.74,550300,362.74
2014-09-17,357.30,360.89,354.29,359.10,659700,359.10
2014-09-16,346.82,356.21,345.00,355.47,821400,355.47
2014-09-15,347.07,347.50,340.39,346.03,539400,346.03
2014-09-12,349.41,349.83,344.05,346.06,573500,346.06
2014-09-11,352.66,353.11,347.01,350.34,381100,350.34
2014-09-10,346.08,355.20,345.07,354.32,663600,354.32
2014-09-09,347.50,347.77,343.40,346.39,609900,346.39
2014-09-08,349.43,351.00,343.18,348.10,652000,348.10
2014-09-05,352.02,353.56,343.47,350.66,834900,350.66
2014-09-04,362.96,362.98,351.23,352.08,653000,352.08
2014-09-03,362.30,364.56,359.81,361.90,602300,361.90
2014-09-02,367.00,369.31,359.23,359.50,1515800,359.50
2014-08-29,349.10,350.74,346.20,350.46,525500,350.46
2014-08-28,348.93,351.42,346.47,346.92,401800,346.92
2014-08-27,354.27,354.27,348.39,350.01,439500,350.01
