Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,40.30,40.42,40.10,40.17,1254100,40.17
2015-03-26,40.41,40.52,40.15,40.30,1976100,40.30
2015-03-25,41.40,41.44,40.57,40.57,1519900,40.57
2015-03-24,41.58,41.66,41.26,41.29,1255900,41.29
2015-03-23,41.80,41.98,41.59,41.59,1629000,41.59
2015-03-20,41.80,41.89,41.41,41.80,4305000,41.80
2015-03-19,41.80,42.00,41.65,41.65,1516100,41.65
2015-03-18,41.49,42.05,41.41,41.91,1422500,41.91
2015-03-17,41.46,41.61,41.39,41.52,1205800,41.52
2015-03-16,40.78,41.52,40.77,41.51,1733500,41.51
2015-03-13,40.53,40.84,40.34,40.78,1814000,40.78
2015-03-12,40.22,40.58,40.22,40.43,2597700,40.43
2015-03-11,40.23,40.34,40.11,40.12,1674600,40.12
2015-03-10,40.80,40.85,40.26,40.27,1530200,40.27
2015-03-09,40.89,41.18,40.84,40.99,1017100,40.99
2015-03-06,41.25,41.35,40.81,40.89,1548900,40.89
2015-03-05,41.46,41.52,41.16,41.32,762400,41.32
2015-03-04,41.44,41.58,41.33,41.40,844500,41.40
2015-03-03,41.42,41.93,41.40,41.60,1504500,41.60
2015-03-02,41.00,41.51,40.94,41.42,909900,41.42
2015-02-27,40.95,41.00,40.58,40.92,1146700,40.92
2015-02-26,40.92,40.99,40.65,40.92,993800,40.92
2015-02-25,40.49,41.00,40.49,40.92,930200,40.92
2015-02-24,40.74,40.89,40.61,40.66,1282600,40.66
2015-02-23,40.65,40.89,40.59,40.83,863700,40.83
2015-02-20,40.51,40.67,40.20,40.65,1159800,40.65
2015-02-19,40.90,41.00,40.40,40.58,979100,40.58
2015-02-18,39.94,40.95,39.79,40.86,2106400,40.86
2015-02-17,39.25,39.94,39.21,39.86,2473100,39.86
2015-02-13,41.00,41.10,38.95,39.34,4738400,39.34
2015-02-12,40.68,41.21,40.67,41.01,1460300,41.01
2015-02-11,40.77,41.02,40.61,40.66,1235000,40.66
2015-02-10,40.75,41.03,40.57,40.76,846800,40.76
2015-02-09,40.48,40.90,40.48,40.66,871800,40.66
2015-02-06,40.90,40.99,40.54,40.63,1041300,40.63
2015-02-05,40.71,41.00,40.63,40.89,1041500,40.89
2015-02-04,40.57,40.85,40.35,40.55,1125100,40.55
2015-02-03,40.01,40.61,39.96,40.59,2022700,40.59
2015-02-02,39.80,39.97,39.44,39.95,1407200,39.95
2015-01-30,40.27,40.44,39.64,39.68,2989500,39.68
2015-01-29,41.02,41.13,40.50,40.62,1465300,40.62
2015-01-28,41.47,41.74,40.85,41.00,1434600,41.00
2015-01-27,40.99,41.63,40.99,41.41,1331500,41.41
2015-01-26,40.99,41.28,40.79,41.28,1078500,41.28
2015-01-23,40.74,41.08,40.56,41.01,1143400,41.01
2015-01-22,40.68,40.94,40.48,40.82,1223300,40.82
2015-01-21,40.40,40.71,40.35,40.50,717400,40.50
2015-01-20,40.30,40.56,40.06,40.53,1131500,40.53
2015-01-16,40.08,40.29,39.95,40.17,1828200,40.17
2015-01-15,40.25,40.36,40.02,40.04,1280200,40.04
2015-01-14,39.82,40.15,39.67,40.04,1158500,40.04
2015-01-13,40.49,40.72,39.76,40.07,1787900,40.07
2015-01-12,40.46,40.53,40.12,40.15,1705600,40.15
2015-01-09,40.64,40.68,40.34,40.42,964200,40.42
2015-01-08,40.58,40.81,40.58,40.71,1156100,40.71
2015-01-07,40.64,40.75,40.10,40.34,1593800,40.34
2015-01-06,40.35,40.66,40.10,40.48,2522100,40.48
2015-01-05,40.41,40.57,40.20,40.34,2235300,40.34
2015-01-02,40.27,40.75,40.19,40.57,2346600,40.57
2014-12-31,40.84,40.87,40.21,40.25,934200,40.25
2014-12-30,40.51,40.76,40.24,40.68,1427300,40.68
2014-12-29,40.82,41.06,40.77,40.89,1348100,40.61
2014-12-26,40.85,41.12,40.82,40.87,943300,40.59
2014-12-24,40.87,40.96,40.64,40.83,463000,40.55
2014-12-23,40.64,40.99,40.58,40.79,982900,40.51
2014-12-22,40.26,40.52,39.96,40.51,1192400,40.23
2014-12-19,40.77,40.97,39.50,40.26,3017600,39.98
2014-12-18,39.73,40.46,39.62,40.46,2720500,40.18
2014-12-17,39.20,39.37,38.51,39.31,1903500,39.04
2014-12-16,38.95,39.59,38.85,39.19,1901900,38.92
2014-12-15,38.77,39.00,38.35,38.95,2397500,38.68
2014-12-12,39.16,39.32,38.72,38.72,1178000,38.45
2014-12-11,39.09,39.64,39.01,39.32,1097900,39.05
2014-12-10,39.37,39.51,39.03,39.11,1804600,38.84
2014-12-09,39.13,39.37,38.92,39.35,1263400,39.08
2014-12-08,39.69,39.74,39.24,39.34,1078800,39.07
2014-12-05,39.30,39.66,39.10,39.64,3726800,39.37
2014-12-04,39.25,39.38,39.13,39.25,1612600,38.98
2014-12-03,39.14,39.26,39.05,39.21,2198600,38.94
2014-12-02,39.21,39.55,39.07,39.08,1706500,38.81
2014-12-01,39.32,39.50,39.13,39.24,1306200,38.97
2014-11-28,39.68,39.90,39.52,39.61,784400,39.34
2014-11-26,39.50,39.71,39.39,39.65,1015900,39.38
2014-11-25,39.22,39.53,39.02,39.49,2205800,39.22
2014-11-24,39.12,39.28,38.96,39.13,1266500,38.86
2014-11-21,39.65,39.70,38.80,39.00,2128900,38.73
2014-11-20,39.31,39.43,39.15,39.33,1104900,39.06
2014-11-19,39.56,39.62,39.31,39.38,979000,39.11
2014-11-18,39.78,39.95,39.59,39.65,1200900,39.38
2014-11-17,39.77,39.97,39.70,39.79,1482000,39.52
2014-11-14,39.64,39.89,39.42,39.77,1366200,39.50
2014-11-13,39.71,39.80,39.46,39.63,1571700,39.36
2014-11-12,39.38,39.81,39.22,39.64,1634800,39.37
2014-11-11,39.50,39.69,39.37,39.41,1297700,39.14
2014-11-10,39.11,39.64,39.08,39.53,1681700,39.26
2014-11-07,38.76,39.19,38.69,39.13,1310000,38.86
2014-11-06,38.66,39.06,38.59,38.71,2063300,38.44
2014-11-05,38.38,38.60,38.10,38.54,1678000,38.28
2014-11-04,38.07,38.31,37.98,38.23,2230300,37.97
2014-11-03,37.80,38.09,37.55,38.07,3562800,37.81
2014-10-31,39.20,39.60,38.02,38.40,4923400,38.14
2014-10-30,39.15,39.97,39.12,39.80,1451500,39.53
2014-10-29,39.48,39.55,38.99,39.34,1407200,39.07
2014-10-28,39.53,39.57,39.17,39.43,1333300,39.16
2014-10-27,39.21,39.36,39.08,39.34,1085300,39.07
2014-10-24,39.14,39.31,38.96,39.24,1259000,38.97
2014-10-23,39.30,39.50,39.14,39.19,959700,38.92
2014-10-22,38.80,39.24,38.78,38.96,1509900,38.69
2014-10-21,38.40,38.84,38.25,38.71,1649800,38.44
2014-10-20,38.08,38.35,37.89,38.33,1573700,38.07
2014-10-17,37.93,38.38,37.77,38.20,2030100,37.94
