Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,211.66,211.97,211.11,211.64999,57952900,211.64999
2015-04-23,210.14999,211.94,210.00999,211.16,99433500,211.16
2015-04-22,210.00999,210.85001,208.89999,210.63,77064000,210.63
2015-04-21,209.85001,210.86,209.24001,209.60001,67403700,209.60001
2015-04-20,209.06,210.25,208.96001,209.85001,82969100,209.85001
2015-04-17,208.94,209.23,207.00999,207.95,181453200,207.95
2015-04-16,210.03,210.98,209.78999,210.37,68411400,210.37
2015-04-15,210.05,211.03999,209.95,210.42999,98807500,210.42999
2015-04-14,208.85001,209.71001,208.10001,209.49001,75099900,209.49001
2015-04-13,209.87,210.63,209.03,209.09,74436600,209.09
2015-04-10,209.20,210.09,208.96001,210.03999,72722900,210.03999
2015-04-09,207.78,209.17999,207.19,208.89999,85548900,208.89999
2015-04-08,207.55,208.50999,207.08,207.98,89351900,207.98
2015-04-07,207.86,208.75999,207.24001,207.28,81236300,207.28
2015-04-06,206.44,208.45,205.21001,207.83,114368200,207.83
2015-04-02,205.62,206.98,205.39999,206.44,86900900,206.44
2015-04-01,206.42999,206.42999,204.50999,205.70,137303600,205.70
2015-03-31,207.25999,208.10001,206.36,206.42999,126768700,206.42999
2015-03-30,206.98,208.61,206.96001,208.25,96180400,208.25
2015-03-27,205.13,205.95,204.89999,205.74001,118939000,205.74001
2015-03-26,204.96001,206.37,204.12,205.27,153067200,205.27
2015-03-25,209.07001,209.35001,205.71001,205.75999,159521700,205.75999
2015-03-24,209.85001,210.39999,208.74001,208.82001,77805300,208.82001
2015-03-23,210.42,211.11,210.00,210.00,71784500,210.00
2015-03-20,209.71001,211.02,209.49001,210.41,177715100,210.41
2015-03-19,209.96001,210.47,209.03,209.50,117917300,208.569
2015-03-18,207.39,211.27,206.62,210.46001,228808500,209.52473
2015-03-17,207.69,208.42,206.98,207.96001,94510400,207.03584
2015-03-16,206.71001,208.69,205.86,208.58,136099200,207.65309
2015-03-13,206.77,207.92999,204.58,205.83,162410900,204.9153
2015-03-12,205.25999,207.17999,205.20,207.10001,93993500,206.17967
2015-03-11,205.28999,205.50,204.39999,204.50,110145700,203.59122
2015-03-10,206.71001,206.81,204.92999,204.98,157121300,204.06908
2015-03-09,207.74001,208.78999,207.55,208.36,89818900,207.43407
2015-03-06,209.42,209.94,207.10001,207.50,188128000,206.57788
2015-03-05,210.62,210.80,209.85001,210.46001,76873000,209.52473
2015-03-04,210.39999,210.49001,209.06,210.23,114497200,209.29575
2015-03-03,211.47,212.05,210.08,211.12,110325800,210.18179
2015-03-02,210.78,212.06,210.72,211.99001,87491400,211.04793
2015-02-27,211.25999,211.58,210.60001,210.66,108076000,209.72385
2015-02-26,211.52,211.71001,210.64999,211.38,72697900,210.44064
2015-02-25,211.66,212.24001,211.22,211.63,73061700,210.68953
2015-02-24,211.12,212.05,210.75999,211.81,72472300,210.86873
2015-02-23,210.94,211.21001,210.48,211.21001,74411100,210.27141
2015-02-20,209.48,211.33,208.73,211.24001,140896400,210.30127
2015-02-19,209.41,210.42,209.24001,209.98,91462500,209.04686
2015-02-18,209.66,210.22,209.34,210.13,80652900,209.1962
2015-02-17,209.39999,210.32001,209.10001,210.11,76968200,209.17628
2015-02-13,209.07001,209.84,208.75999,209.78,93670400,208.84775
2015-02-12,207.89,208.99001,206.97,208.92,97545900,207.99156
2015-02-11,206.61,207.45,205.83,206.92999,91087800,206.01041
2015-02-10,205.88,207.12,204.67999,206.81,96164200,205.89095
2015-02-09,204.77,205.64,204.14,204.63,87219000,203.72064
2015-02-06,206.56,207.24001,204.92,205.55,119694900,204.63655
