Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,53.74,53.91,52.58,52.76,2900100,52.76
2015-03-26,52.50,54.26,52.12,53.53,4235000,53.53
2015-03-25,55.45,55.83,53.44,53.61,4349000,53.61
2015-03-24,55.54,56.12,55.26,55.33,2825800,55.33
2015-03-23,56.51,57.12,55.61,55.85,2650800,55.85
2015-03-20,56.16,56.70,55.70,56.51,4814100,56.51
2015-03-19,55.30,55.88,55.30,55.71,2424200,55.71
2015-03-18,54.65,55.75,53.89,55.30,4951900,55.30
2015-03-17,54.46,54.59,53.65,53.67,3299200,53.67
2015-03-16,54.80,54.98,53.97,54.84,4261700,54.84
2015-03-13,54.24,54.64,52.82,53.76,4054600,53.76
2015-03-12,52.81,55.13,52.55,54.54,5734400,54.54
2015-03-11,54.39,54.73,53.50,54.36,4559600,54.36
2015-03-10,56.67,56.80,54.17,54.41,6728400,54.41
2015-03-09,56.93,57.87,56.82,56.98,3283400,56.98
2015-03-06,58.11,58.49,56.75,56.90,3771700,56.90
2015-03-05,58.12,58.75,57.40,58.44,3474300,58.44
2015-03-04,58.48,58.49,57.23,58.08,4209500,58.08
2015-03-03,60.30,60.49,57.81,58.82,6555700,58.82
2015-03-02,61.21,63.39,61.02,61.56,4083600,61.56
2015-02-27,60.51,61.18,60.17,61.12,2752300,61.12
2015-02-26,60.14,60.87,60.13,60.68,2406000,60.68
2015-02-25,60.05,60.23,59.53,60.02,3268900,60.02
2015-02-24,61.73,61.87,60.00,60.70,3580900,60.70
2015-02-23,62.32,62.43,61.70,61.99,1555500,61.99
2015-02-20,61.43,62.20,60.87,62.18,1746900,62.18
2015-02-19,60.93,61.56,60.93,61.46,1291300,61.46
2015-02-18,61.06,61.37,60.44,61.18,2173700,61.18
2015-02-17,61.63,61.80,60.79,61.15,2318300,61.15
2015-02-13,61.83,62.61,61.49,61.84,2566200,61.84
2015-02-12,61.34,61.71,60.86,61.16,1830000,61.16
2015-02-11,60.27,61.12,59.93,60.80,3024800,60.80
2015-02-10,60.44,61.16,59.51,60.20,3419200,60.20
2015-02-09,59.52,60.75,59.00,60.40,3563200,60.40
2015-02-06,60.05,61.25,59.80,59.94,4195800,59.94
2015-02-05,60.12,60.70,59.79,60.41,2189500,59.87
2015-02-04,58.98,60.46,58.98,59.93,4049100,59.39
2015-02-03,57.91,59.38,57.86,59.25,4239000,58.72
2015-02-02,56.51,57.94,55.89,57.80,5027900,57.28
2015-01-30,58.27,58.69,56.31,56.44,5504500,55.94
2015-01-29,57.14,58.97,57.00,58.70,5046000,58.18
2015-01-28,58.08,58.77,57.48,57.53,7678200,57.02
2015-01-27,59.00,59.00,56.50,57.07,8078000,56.56
2015-01-26,58.92,60.24,56.52,59.06,15325600,58.53
2015-01-23,64.15,64.42,63.47,63.98,2594200,63.41
2015-01-22,63.15,64.46,62.32,63.94,3563300,63.37
2015-01-21,62.71,63.65,62.40,63.29,1724000,62.72
2015-01-20,63.63,63.98,62.34,63.12,1772100,62.56
2015-01-16,62.36,63.53,61.76,63.41,2500300,62.84
2015-01-15,64.61,64.96,62.10,62.28,3552200,61.72
2015-01-14,64.22,64.73,63.61,64.59,1927000,64.01
2015-01-13,65.69,66.91,64.13,64.75,2142700,64.17
2015-01-12,66.25,66.45,64.76,65.04,2133100,64.46
2015-01-09,65.75,66.97,65.47,66.44,2545900,65.85
2015-01-08,65.00,66.17,64.51,65.43,3472500,64.85
2015-01-07,64.11,64.80,63.18,64.27,1886500,63.70
2015-01-06,65.90,65.91,63.61,63.86,3425800,63.29
2015-01-05,65.86,66.50,65.19,65.67,2269700,65.08
2015-01-02,66.67,67.21,65.50,66.02,2397300,65.43
2014-12-31,67.57,67.75,66.38,66.50,1756700,65.91
2014-12-30,68.02,68.13,67.25,67.25,1725500,66.65
2014-12-29,68.59,68.94,67.74,68.19,2054200,67.58
2014-12-26,68.80,68.99,68.50,68.76,729600,68.15
2014-12-24,68.94,69.25,68.38,68.82,1179000,68.20
2014-12-23,69.14,69.40,68.46,68.65,1465600,68.04
2014-12-22,68.20,68.75,68.01,68.63,1771800,68.02
2014-12-19,67.55,69.32,67.55,68.40,4496800,67.79
2014-12-18,66.17,67.61,65.99,67.61,3218900,67.01
2014-12-17,63.29,65.17,63.23,65.01,2533500,64.43
2014-12-16,63.40,64.94,62.87,63.27,1929700,62.70
2014-12-15,64.68,64.85,63.14,63.71,2128100,63.14
2014-12-12,65.08,65.24,63.94,64.04,2238300,63.47
2014-12-11,65.58,66.19,65.12,65.50,2172600,64.91
2014-12-10,65.56,66.07,65.10,65.22,2262400,64.64
2014-12-09,65.22,66.23,64.60,65.76,3074000,65.17
2014-12-08,66.22,66.87,65.63,66.24,1825800,65.65
2014-12-05,66.54,66.60,65.50,66.40,2747600,65.81
2014-12-04,66.90,67.16,65.85,66.09,2161100,65.50
2014-12-03,67.21,67.53,65.81,66.85,4069100,66.25
2014-12-02,66.25,67.87,65.70,67.54,3076800,66.94
2014-12-01,65.81,66.49,65.22,65.94,2573200,65.35
2014-11-28,66.51,66.68,65.66,66.11,1183800,65.52
2014-11-26,66.07,66.28,65.31,65.85,1670300,65.26
2014-11-25,66.02,66.47,65.66,65.99,2250700,65.40
2014-11-24,65.33,66.43,65.05,66.03,1986400,65.44
2014-11-21,66.52,66.52,64.74,64.94,4190800,64.36
2014-11-20,64.30,65.55,64.11,65.54,2287700,64.95
2014-11-19,64.43,64.72,63.81,64.62,2045800,64.04
2014-11-18,64.13,65.00,64.04,64.65,2853000,64.07
2014-11-17,62.57,64.32,62.35,63.99,3397900,63.42
2014-11-14,62.00,63.04,61.94,62.87,1745500,62.31
2014-11-13,62.32,62.61,61.67,62.11,1251500,61.55
2014-11-12,61.75,62.59,61.58,62.32,1884200,61.76
2014-11-11,61.97,61.99,61.44,61.81,1845000,61.26
2014-11-10,61.62,62.03,61.50,61.77,2192500,61.22
2014-11-07,62.44,62.92,61.21,61.56,3931500,61.01
2014-11-06,63.37,63.58,62.19,62.53,3840000,61.97
2014-11-05,64.01,64.29,63.18,63.75,2614400,62.64
2014-11-04,63.77,65.00,63.77,63.89,4683600,62.78
2014-11-03,62.93,64.88,62.71,64.17,4963400,63.06
2014-10-31,61.17,62.86,61.00,62.83,5946000,61.74
2014-10-30,58.94,60.47,58.90,60.15,3183000,59.11
2014-10-29,59.56,60.62,59.17,60.23,2954000,59.19
2014-10-28,58.27,59.66,58.27,59.47,3043800,58.44
2014-10-27,57.70,59.48,57.20,58.74,3252700,57.72
2014-10-24,56.74,58.56,56.36,58.36,4481900,57.35
2014-10-23,55.76,56.76,55.47,56.52,3630200,55.54
2014-10-22,55.28,55.55,54.17,54.28,1876000,53.34
2014-10-21,54.39,55.28,54.06,55.21,2052800,54.25
2014-10-20,52.45,53.90,52.41,53.85,2290300,52.92
2014-10-17,52.86,53.61,52.54,52.95,2018500,52.03
2014-10-16,51.18,52.74,51.07,52.38,3184000,51.47
2014-10-15,51.42,52.75,50.44,51.96,5456100,51.06
2014-10-14,53.49,53.81,52.40,52.56,3612600,51.65
2014-10-13,53.78,54.51,52.77,52.98,4587300,52.06
2014-10-10,56.34,56.83,54.90,54.94,4447500,53.99
2014-10-09,56.77,57.44,56.08,56.23,3328100,55.26
2014-10-08,55.25,57.12,54.38,57.06,3948700,56.07
2014-10-07,55.73,56.36,55.21,55.25,2731600,54.29
2014-10-06,56.45,56.90,55.69,56.16,2909900,55.19
2014-10-03,55.80,56.73,55.65,56.08,2388600,55.11
2014-10-02,55.23,55.76,54.38,55.52,2314300,54.56
2014-10-01,57.06,57.25,54.83,55.08,3999100,54.13
2014-09-30,57.21,57.79,56.74,57.27,2311600,56.28
2014-09-29,56.23,57.31,55.78,57.25,2122200,56.26
2014-09-26,56.32,57.14,56.18,56.77,1591800,55.79
2014-09-25,57.35,57.51,55.96,56.26,2489900,55.28
2014-09-24,57.00,57.61,56.45,57.44,2203900,56.44
2014-09-23,57.58,57.76,56.74,56.79,2655600,55.81
2014-09-22,57.90,58.44,57.29,57.60,2418300,56.60
2014-09-19,59.90,59.95,58.29,58.31,4673100,57.30
2014-09-18,59.01,59.98,58.91,59.79,2959000,58.75
2014-09-17,59.16,59.42,58.22,58.98,4075100,57.96
2014-09-16,58.68,59.61,57.86,59.25,4139500,58.22
2014-09-15,61.15,61.25,58.79,58.84,3891100,57.82
2014-09-12,61.36,61.70,59.92,61.01,4207300,59.95
2014-09-11,61.07,61.30,59.92,60.87,2470700,59.81
2014-09-10,62.71,62.71,60.64,61.26,1431800,60.20
2014-09-09,61.18,61.67,60.79,60.83,2127800,59.78
2014-09-08,62.82,62.82,61.00,61.29,1292200,60.23
2014-09-05,60.79,61.37,60.53,61.32,1941700,60.26
2014-09-04,61.70,61.83,60.63,60.96,2892900,59.90
2014-09-03,61.90,62.07,61.40,61.70,2740700,60.63
2014-09-02,62.90,63.27,61.21,61.82,3370600,60.75
2014-08-29,62.24,62.95,61.89,62.58,1776000,61.50
2014-08-28,61.14,62.19,60.88,62.09,2015700,61.01
2014-08-27,60.63,61.58,60.63,61.18,1943500,60.12
2014-08-26,60.88,61.16,60.51,60.66,1478300,59.61
2014-08-25,60.58,61.13,60.46,60.96,1364500,59.90
2014-08-22,60.49,60.74,60.23,60.37,1226400,59.32
2014-08-21,59.98,60.49,59.74,60.43,1447200,59.38
2014-08-20,59.58,60.16,59.52,59.83,1445500,58.79
2014-08-19,59.11,59.73,59.10,59.59,1505000,58.56
2014-08-18,59.06,59.44,58.85,59.22,1444400,58.19
2014-08-15,58.85,59.00,58.16,58.75,2358400,57.73
2014-08-14,57.73,58.69,57.66,58.39,1951700,57.38
2014-08-13,58.39,58.39,56.79,57.93,1924500,56.93
2014-08-12,57.00,57.12,56.27,56.80,1356900,55.82
2014-08-11,57.21,57.64,56.81,57.00,1236200,56.01
2014-08-08,56.87,57.20,56.21,56.97,2005700,55.98
2014-08-07,57.38,57.40,56.53,56.84,2744900,55.85
2014-08-06,56.78,57.13,56.05,56.94,3584800,55.95
2014-08-05,58.59,59.00,57.13,57.38,2397100,55.96
2014-08-04,58.09,58.92,57.66,58.70,2225600,57.25
2014-08-01,58.38,58.95,57.41,58.19,2999100,56.75
2014-07-31,59.03,60.38,58.15,58.60,3414500,57.15
2014-07-30,59.61,60.24,59.46,60.09,2009200,58.61
2014-07-29,59.06,59.66,58.50,59.39,1401000,57.92
2014-07-28,59.50,59.84,59.05,59.13,1730800,57.67
2014-07-25,59.20,59.71,59.18,59.50,1050000,58.03
2014-07-24,59.58,59.66,58.39,59.58,1842900,58.11
2014-07-23,59.48,59.88,59.09,59.19,1355600,57.73
2014-07-22,58.96,59.82,58.52,59.24,3195900,57.78
2014-07-21,58.64,59.23,58.24,58.58,3337900,57.13
2014-07-18,59.70,59.77,57.75,58.79,5444600,57.34
2014-07-17,60.63,61.15,59.22,59.49,3660000,58.02
2014-07-16,60.26,61.61,60.25,61.31,3160100,59.80
2014-07-15,59.95,60.95,59.58,59.69,2104100,58.22
2014-07-14,59.73,59.98,59.15,59.67,2387800,58.20
2014-07-11,59.07,59.70,58.58,59.45,1436300,57.98
2014-07-10,57.92,59.15,57.65,58.83,1484900,57.38
2014-07-09,58.72,59.20,58.33,58.48,1530700,57.04
2014-07-08,59.12,59.63,58.03,58.69,2359700,57.24
2014-07-07,59.15,59.28,58.49,58.96,1698600,57.50
2014-07-03,59.17,59.30,58.11,59.26,1757300,57.80
2014-07-02,58.74,59.16,58.61,59.03,1972600,57.57
2014-07-01,57.23,59.43,57.20,58.88,3610800,57.43
2014-06-30,57.12,57.15,56.65,56.82,1676700,55.42
2014-06-27,56.47,57.02,56.25,56.92,1212800,55.51
2014-06-26,56.66,56.90,56.31,56.71,1203100,55.31
2014-06-25,55.65,56.83,55.58,56.77,1921300,55.37
2014-06-24,55.79,56.47,55.70,55.99,2951900,54.61
2014-06-23,56.41,56.41,55.38,55.95,1853700,54.57
2014-06-20,56.80,57.25,55.83,56.27,4148700,54.88
2014-06-19,57.03,57.12,56.22,56.58,1924600,55.18
2014-06-18,56.73,57.15,56.03,57.12,1867400,55.71
2014-06-17,55.64,57.18,55.57,56.82,2598200,55.42
2014-06-16,55.19,55.97,55.15,55.91,2129000,54.53
2014-06-13,55.37,55.73,54.91,55.36,3423600,53.99
2014-06-12,54.49,54.65,53.92,54.22,2335700,52.88
2014-06-11,54.64,54.87,54.06,54.50,1369800,53.15
2014-06-10,54.63,54.91,54.05,54.53,2083500,53.18
2014-06-09,55.50,55.55,54.53,54.65,1753100,53.30
2014-06-06,54.80,55.58,54.27,55.50,3601300,54.13
