Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,106.64,107.26,106.38,107.13,1467800,107.13
2015-03-26,107.31,107.38,106.44,106.83,1489800,106.83
2015-03-25,109.24,109.38,107.55,107.61,1663600,107.61
2015-03-24,109.39,109.85,109.13,109.23,1217000,109.23
2015-03-23,109.59,110.49,109.46,109.62,1535500,109.62
2015-03-20,109.58,110.24,109.18,109.73,4366100,109.73
2015-03-19,109.64,109.76,108.73,109.11,1448500,109.11
2015-03-18,108.78,109.79,107.71,109.52,2426400,109.52
2015-03-17,108.15,109.07,107.68,108.75,1663000,108.75
2015-03-16,107.50,109.08,107.50,108.93,2020800,108.93
2015-03-13,107.49,107.67,106.27,106.72,1719300,106.72
2015-03-12,106.37,107.85,106.31,107.83,1475100,107.83
2015-03-11,104.97,106.05,104.77,105.67,1837500,105.67
2015-03-10,105.67,105.75,104.72,104.73,1768000,104.73
2015-03-09,105.97,106.99,105.93,106.72,1257000,106.72
2015-03-06,106.48,107.63,105.71,105.80,2199700,105.80
2015-03-05,106.88,107.70,106.68,107.60,1418400,107.05
2015-03-04,106.91,107.29,106.67,106.88,1640300,106.33
2015-03-03,107.45,107.81,106.90,107.40,1088600,106.85
2015-03-02,107.44,107.96,107.27,107.90,1344800,107.35
2015-02-27,107.67,108.22,107.31,107.44,3217100,106.89
2015-02-26,106.81,108.04,106.75,107.82,2673100,107.27
2015-02-25,107.55,107.75,106.88,106.91,2028900,106.36
2015-02-24,106.96,107.92,106.96,107.55,1530200,107.00
2015-02-23,107.62,107.63,106.74,107.08,1817300,106.53
2015-02-20,107.59,108.08,106.75,107.82,2177200,107.27
2015-02-19,107.90,108.29,107.63,107.99,2155600,107.44
2015-02-18,107.48,108.10,107.36,107.98,1829800,107.43
2015-02-17,108.43,108.53,107.95,108.00,3307900,107.45
2015-02-13,107.76,108.40,107.69,108.00,2232200,107.45
2015-02-12,107.78,108.16,107.56,108.04,2151900,107.49
2015-02-11,106.58,107.92,106.31,107.77,1865500,107.22
2015-02-10,106.14,106.77,105.99,106.52,2065500,105.98
2015-02-09,105.43,106.16,105.16,105.77,2206900,105.23
2015-02-06,107.41,108.07,106.91,107.20,2464100,106.65
2015-02-05,106.46,107.48,106.46,107.41,1705700,106.86
2015-02-04,105.66,107.36,105.58,106.73,2308200,106.18
2015-02-03,104.82,106.09,104.52,106.04,2478500,105.50
2015-02-02,102.94,104.62,101.94,104.58,2060600,104.05
2015-01-30,102.75,104.11,102.28,102.82,3675400,102.29
2015-01-29,104.89,105.07,103.51,104.54,2797400,104.01
2015-01-28,106.50,106.98,104.51,104.58,2262700,104.05
2015-01-27,106.67,106.73,105.71,106.05,1681100,105.51
2015-01-26,106.91,107.24,106.41,107.07,1806400,106.52
2015-01-23,107.99,108.14,106.93,107.00,1885300,106.45
2015-01-22,106.50,108.24,105.24,108.17,3486800,107.62
2015-01-21,105.47,106.04,104.59,105.01,2517800,104.47
2015-01-20,106.91,107.27,104.93,105.84,2226800,105.30
2015-01-16,104.44,106.69,104.17,106.54,2137100,106.00
2015-01-15,103.77,104.62,103.41,104.21,1547200,103.68
2015-01-14,103.64,104.99,102.99,103.77,2142900,103.24
2015-01-13,105.96,107.23,104.66,105.36,2086900,104.82
2015-01-12,106.06,106.27,104.95,105.20,1541600,104.66
2015-01-09,107.26,107.43,105.81,105.83,1415900,105.29
2015-01-08,105.85,107.24,105.66,107.18,1941200,106.63
2015-01-07,104.38,105.05,103.65,105.00,1558200,104.46
2015-01-06,104.07,104.69,103.04,103.24,2350900,102.71
2015-01-05,105.11,105.24,103.87,104.17,1728700,103.64
2015-01-02,106.29,106.74,104.94,105.44,1270800,104.90
2014-12-31,107.15,107.94,105.84,105.85,1064900,105.31
2014-12-30,106.95,107.14,106.40,106.93,939300,106.38
2014-12-29,106.69,107.59,106.51,106.95,824200,106.40
2014-12-26,107.23,107.29,106.69,106.70,779200,106.15
2014-12-24,107.40,107.44,106.62,106.72,540300,106.17
2014-12-23,106.77,107.29,106.28,106.95,1290700,106.40
2014-12-22,106.07,106.62,105.63,106.31,1117200,105.77
2014-12-19,106.41,106.70,105.41,105.75,3896900,105.21
2014-12-18,105.41,105.95,104.70,105.95,2225300,105.41
2014-12-17,103.28,104.49,102.93,104.41,2386200,103.88
2014-12-16,102.83,104.43,102.57,103.08,2196500,102.55
2014-12-15,103.64,104.38,102.14,103.09,1960500,102.56
2014-12-12,103.64,104.77,103.12,103.16,2247400,102.63
2014-12-11,103.78,105.73,103.71,104.57,2467600,104.04
2014-12-10,104.55,105.76,104.22,104.26,2417000,103.73
2014-12-09,104.44,105.64,104.36,105.02,1975300,104.48
2014-12-08,104.93,106.13,104.57,105.84,2028700,105.30
2014-12-05,105.20,105.91,104.91,105.20,1730100,104.12
2014-12-04,105.19,105.44,104.81,105.10,3234800,104.02
2014-12-03,104.24,105.30,104.00,105.19,2384200,104.11
2014-12-02,103.73,104.59,103.55,104.40,2102200,103.32
2014-12-01,104.38,104.79,104.02,104.44,1594800,103.36
2014-11-28,104.63,105.07,104.22,104.45,834600,103.37
2014-11-26,103.41,104.42,103.41,104.37,1647900,103.29
2014-11-25,104.09,104.09,103.11,103.43,2251800,102.36
2014-11-24,104.02,104.24,103.46,103.79,1463900,102.72
2014-11-21,104.39,104.46,103.55,103.81,1767100,102.74
2014-11-20,102.59,103.72,102.58,103.46,1596400,102.39
2014-11-19,102.61,103.15,102.38,103.03,1878300,101.97
2014-11-18,102.57,103.30,102.45,102.85,1787200,101.79
2014-11-17,102.21,102.87,102.04,102.75,1643200,101.69
2014-11-14,103.14,103.30,102.09,102.43,1704600,101.37
2014-11-13,103.30,103.52,102.74,103.23,1420100,102.17
