Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,94.26,94.40,92.37,92.73,2000000,92.73
2015-03-26,92.74,94.58,91.61,93.64,3472200,93.64
2015-03-25,98.54,98.54,94.59,94.62,2126100,94.62
2015-03-24,99.44,100.08,97.56,97.94,1750000,97.94
2015-03-23,100.39,101.36,99.51,99.64,1279600,99.64
2015-03-20,100.07,101.08,99.09,100.44,2381400,100.44
2015-03-19,98.34,99.62,98.16,99.30,1936600,99.30
2015-03-18,97.64,98.49,96.17,97.88,2572000,97.88
2015-03-17,97.53,98.17,96.23,96.62,1500000,96.62
2015-03-16,97.96,99.41,97.59,98.20,1516200,98.20
2015-03-13,98.18,98.56,96.08,97.19,2210300,97.19
2015-03-12,95.35,98.82,95.07,98.56,2943700,98.56
2015-03-11,98.85,99.03,96.37,97.89,3293200,97.89
2015-03-10,101.42,102.12,99.38,99.39,2378600,99.39
2015-03-09,102.68,103.25,101.75,102.58,1682300,102.58
2015-03-06,104.67,105.49,102.23,102.53,1509800,102.53
2015-03-05,105.68,105.68,104.65,105.38,881700,105.38
2015-03-04,104.61,105.53,103.35,105.36,1649500,105.36
2015-03-03,108.17,108.55,104.81,105.57,1791500,105.57
2015-03-02,107.42,110.00,106.64,108.78,1821100,108.78
2015-02-27,107.42,107.99,106.62,106.98,1623800,106.98
2015-02-26,106.75,108.48,106.22,107.34,2215400,107.34
2015-02-25,108.25,108.25,105.77,106.15,2352100,106.15
2015-02-24,110.60,110.83,107.98,108.97,1651500,108.97
2015-02-23,111.65,111.84,110.22,111.09,1760200,111.09
2015-02-20,109.71,111.53,108.17,111.31,2268100,111.31
2015-02-19,109.18,109.88,108.73,109.84,2792100,109.84
2015-02-18,106.83,109.05,105.13,109.00,2778100,109.00
2015-02-17,105.50,107.23,105.50,106.77,1302800,106.77
2015-02-13,107.96,108.86,107.05,107.61,1246800,107.61
2015-02-12,106.40,107.91,106.11,107.19,1718200,107.19
2015-02-11,104.00,106.21,103.73,106.09,1872600,106.09
2015-02-10,103.18,104.13,101.64,104.08,1301000,104.08
2015-02-09,103.23,103.53,102.27,102.60,963600,102.60
2015-02-06,104.25,106.16,103.12,103.40,1736500,103.40
2015-02-05,103.85,104.92,103.21,104.11,1603100,104.11
2015-02-04,100.69,105.24,100.65,104.04,4537800,104.04
2015-02-03,98.46,100.75,97.39,100.69,2227000,100.69
2015-02-02,97.26,98.50,95.54,98.42,2317800,98.42
2015-01-30,99.87,101.04,96.96,97.23,2381000,97.23
2015-01-29,100.25,101.51,98.82,101.06,2533700,101.06
2015-01-28,104.23,104.95,99.64,99.83,5081900,99.83
2015-01-27,99.09,100.10,97.23,97.63,3305000,97.63
2015-01-26,101.47,101.99,96.70,100.98,5789500,100.98
2015-01-23,105.30,107.04,105.26,106.10,2250200,106.10
2015-01-22,106.54,106.68,104.44,105.29,3319400,105.29
2015-01-21,106.05,107.29,105.70,106.63,1037900,106.63
2015-01-20,107.14,107.14,105.20,106.59,1401400,106.59
2015-01-16,104.60,106.58,103.11,106.37,1877000,106.37
2015-01-15,109.28,109.39,104.66,104.70,2172700,104.70
2015-01-14,109.31,109.67,107.57,108.77,1330900,108.77
2015-01-13,111.00,112.57,108.74,109.38,1603600,109.38
2015-01-12,111.45,111.78,109.69,110.32,1516400,110.32
